area_id,areaname,ceiling,cloud_cover,condition,dew_point,humidity,pressure,province,temperature,timestamp,url,uv_index,visibility,wind,wind_gust
211671,Yogyakarta,3871 m,97%,A shower,22°,66%,1010.80 mbar,Yogyakarta,29°,12:00 PM,https://www.accuweather.com/en/id/Yogyakarta/211671/current-weather/211671,3 Moderate,8 km,SSW at 8 km/h,11 km/h
3483981,Balla Timur,5700 m,97%,Cloudy,17°,63%,1011.10 mbar,West Sulawesi,24°,1:00 PM,https://www.accuweather.com/en/id/Balla-Timur/3483981/current-weather/3483981,5 Moderate,11 km,WNW at 10 km/h,14 km/h
3483901,Wattang,7346 m,95%,Cloudy,23°,57%,1010.80 mbar,West Sulawesi,32°,1:00 PM,https://www.accuweather.com/en/id/Wattang/3483901/current-weather/3483901,5 Moderate,10 km,WNW at 12 km/h,15 km/h
3483726,Pangali-Ali,7132 m,93%,Cloudy,22°,63%,1010.80 mbar,West Sulawesi,30°,1:00 PM,https://www.accuweather.com/en/id/Pangali-Ali/3483726/current-weather/3483726,6 High,10 km,W at 8 km/h,12 km/h
3483794,Pambusuang,7132 m,93%,Cloudy,22°,63%,1010.80 mbar,West Sulawesi,30°,1:00 PM,https://www.accuweather.com/en/id/Pambusuang/3483794/current-weather/3483794,6 High,10 km,W at 8 km/h,12 km/h
203550,Sambas,3139 m,99%,Thunderstorm,24°,72%,1012.00 mbar,West Kalimantan,29°,12:00 PM,https://www.accuweather.com/en/id/Sambas/203550/current-weather/203550,2 Low,8 km,NE at 8 km/h,10 km/h
206184,Ujuang Gadiang,5913 m,76%,Mostly cloudy,23°,61%,1012.20 mbar,West Sumatra,31°,12:00 PM,https://www.accuweather.com/en/id/Ujuang-Gadiang/206184/current-weather/206184,6 High,11 km,WNW at 5 km/h,7 km/h
3431746,Wua-Wua,5852 m,80%,Mostly cloudy,25°,79%,1009.90 mbar,Southeast Sulawesi,29°,1:00 PM,https://www.accuweather.com/en/id/Wua-Wua/3431746/current-weather/3431746,7 High,8 km,WNW at 10 km/h,13 km/h
205755,Wotu,5700 m,94%,Cloudy,23°,59%,1011.00 mbar,South Sulawesi,32°,1:00 PM,https://www.accuweather.com/en/id/Wotu/205755/current-weather/205755,5 Moderate,11 km,WSW at 12 km/h,16 km/h
3483117,Wowawanggu,5852 m,80%,Mostly cloudy,25°,79%,1009.90 mbar,Southeast Sulawesi,29°,1:00 PM,https://www.accuweather.com/en/id/Wowawanggu/3483117/current-weather/3483117,7 High,8 km,WNW at 10 km/h,13 km/h
205754,Watan Soppeng,6005 m,89%,Mostly cloudy,24°,60%,1010.30 mbar,South Sulawesi,33°,1:00 PM,https://www.accuweather.com/en/id/Watan-Soppeng/205754/current-weather/205754,6 High,3 km,NW at 7 km/h,10 km/h
3431635,Wara Utara,5700 m,93%,Cloudy,23°,62%,1010.80 mbar,South Sulawesi,30°,1:00 PM,https://www.accuweather.com/en/id/Wara-Utara/3431635/current-weather/3431635,5 Moderate,10 km,NE at 12 km/h,16 km/h
