area_id,areaname,ceiling,cloud_cover,condition,dew_point,humidity,pressure,province,temperature,timestamp,url,uv_index,visibility,wind,wind_gust
1921183,Potorono,1920 m,99%,Cloudy,23°,70%,1011.50 mbar,Yogyakarta,29°,12:33 PM,https://www.accuweather.com/en/id/Potorono/1921183/current-weather/1921183,3 Moderate,6 km,SW at 7 km/h,9 km/h
3453742,Wanasari,3840 m,99%,A shower,23°,78%,1013.00 mbar,West Java,27°,12:33 PM,https://www.accuweather.com/en/id/Wanasari/3453742/current-weather/3453742,3 Moderate,8 km,NW at 14 km/h,19 km/h
3468201,Waja Geseng,0 m,100%,Cloudy,22°,81%,1011.30 mbar,West Nusa Tenggara,26°,1:33 PM,https://www.accuweather.com/en/id/Waja-Geseng/3468201/current-weather/3468201,2 Low,5 km,NNW at 22 km/h,24 km/h
3468385,Wanasaba,0 m,85%,Thunderstorm,25°,78%,1011.00 mbar,West Nusa Tenggara,29°,1:33 PM,https://www.accuweather.com/en/id/Wanasaba/3468385/current-weather/3468385,3 Moderate,6 km,WNW at 17 km/h,17 km/h
3468875,Turida,0 m,97%,Cloudy,26°,80%,1011.00 mbar,West Nusa Tenggara,29°,1:33 PM,https://www.accuweather.com/en/id/Turida/3468875/current-weather/3468875,2 Low,5 km,WSW at 14 km/h,16 km/h
3483901,Wattang,1189 m,98%,Cloudy,24°,77%,1010.70 mbar,West Sulawesi,28°,1:33 PM,https://www.accuweather.com/en/id/Wattang/3483901/current-weather/3483901,2 Low,6 km,NW at 8 km/h,10 km/h
3483724,Totoli,610 m,99%,Cloudy,25°,80%,1010.60 mbar,West Sulawesi,29°,1:33 PM,https://www.accuweather.com/en/id/Totoli/3483724/current-weather/3483724,2 Low,6 km,WNW at 11 km/h,14 km/h
3431462,Pagar Alam Utara,7010 m,95%,Cloudy,20°,76%,1012.90 mbar,South Sumatra,25°,12:33 PM,https://www.accuweather.com/en/id/Pagar-Alam-Utara/3431462/current-weather/3431462,5 Moderate,8 km,NNW at 10 km/h,14 km/h
3490293,Yobe,6888 m,35%,Partly sunny,23°,58%,1007.00 mbar,Papua,32°,2:33 PM,https://www.accuweather.com/en/id/Yobe/3490293/current-weather/3490293,6 High,16 km,W at 17 km/h,17 km/h
205755,Wotu,0 m,98%,Cloudy,24°,63%,1011.00 mbar,South Sulawesi,32°,1:33 PM,https://www.accuweather.com/en/id/Wotu/205755/current-weather/205755,2 Low,6 km,SW at 9 km/h,12 km/h
3450031,Tiban Indah,5456 m,35%,Partly sunny,24°,64%,1014.00 mbar,Riau Islands,31°,12:33 PM,https://www.accuweather.com/en/id/Tiban-Indah/3450031/current-weather/3450031,9 Very High,16 km,NNE at 30 km/h,33 km/h
3450030,Tiban Lama,5456 m,35%,Partly sunny,24°,64%,1014.00 mbar,Riau Islands,31°,12:33 PM,https://www.accuweather.com/en/id/Tiban-Lama/3450030/current-weather/3450030,9 Very High,16 km,NNE at 30 km/h,33 km/h
3450029,Tiban Baru,5456 m,35%,Partly sunny,24°,64%,1014.00 mbar,Riau Islands,31°,12:33 PM,https://www.accuweather.com/en/id/Tiban-Baru/3450029/current-weather/3450029,9 Very High,16 km,NNE at 30 km/h,33 km/h
3431247,Tarakan Utara,4511 m,91%,Cloudy,25°,74%,1013.00 mbar,North Kalimantan,30°,1:33 PM,https://www.accuweather.com/en/id/Tarakan-Utara/3431247/current-weather/3431247,3 Moderate,8 km,W at 8 km/h,10 km/h
3485277,Soma,7010 m,53%,Clouds and sun,24°,68%,1010.10 mbar,North Maluku,30°,2:33 PM,https://www.accuweather.com/en/id/Soma/3485277/current-weather/3485277,5 Moderate,16 km,ENE at 12 km/h,16 km/h
3485278,Tagono,7010 m,70%,Clouds and sun,24°,70%,1009.30 mbar,North Maluku,30°,2:33 PM,https://www.accuweather.com/en/id/Tagono/3485278/current-weather/3485278,4 Moderate,8 km,ENE at 12 km/h,16 km/h
3485071,Soligi,6980 m,82%,Mostly cloudy,23°,65%,1010.20 mbar,North Maluku,30°,2:33 PM,https://www.accuweather.com/en/id/Soligi/3485071/current-weather/3485071,4 Moderate,16 km,NNW at 10 km/h,13 km/h
683939,Kotabangon,6919 m,81%,Mostly cloudy,24°,88%,1010.90 mbar,North Sulawesi,27°,1:33 PM,https://www.accuweather.com/en/id/Kotabangon/683939/current-weather/683939,5 Moderate,6 km,N at 8 km/h,12 km/h
3442662,Wijaya Pura,5822 m,95%,Cloudy,23°,74%,1013.50 mbar,Jambi,28°,12:33 PM,https://www.accuweather.com/en/id/Wijaya-Pura/3442662/current-weather/3442662,4 Moderate,8 km,NW at 16 km/h,20 km/h
3442470,Wanareja,6645 m,61%,Clouds and sun,23°,67%,1013.90 mbar,Jambi,29°,12:33 PM,https://www.accuweather.com/en/id/Wanareja/3442470/current-weather/3442470,8 Very High,10 km,N at 8 km/h,10 km/h
3442398,Tungkal III,5822 m,92%,A shower,24°,74%,1013.50 mbar,Jambi,29°,12:33 PM,https://www.accuweather.com/en/id/Tungkal-III/3442398/current-weather/3442398,4 Moderate,6 km,WNW at 12 km/h,16 km/h
