area_id,areaname,ceiling,cloud_cover,condition,dew_point,humidity,pressure,province,temperature,timestamp,url,uv_index,visibility,wind,wind_gust
211671,Yogyakarta,1859 m,80%,Mostly cloudy,25° C,67%,1008.0 mbar,Yogyakarta,32°,2:58 PM,https://www.accuweather.com/en/id/Yogyakarta/211671/current-weather/211671,3 Moderate,10 km,NNE at 14 km/h,19 km/h
3483974,Balla,1646 m,71%,Clouds and sun,18° C,70%,1009.2 mbar,West Sulawesi,23°,3:58 PM,https://www.accuweather.com/en/id/Balla/3483974/current-weather/3483974,2 Low,10 km,NW at 14 km/h,20 km/h
3431678,Pancoran Mas,1920 m,74%,Thunderstorm,26° C,83%,1007.0 mbar,West Java,28°,2:58 PM,https://www.accuweather.com/en/id/Pancoran-Mas/3431678/current-weather/3431678,2 Low,5 km,NNE at 20 km/h,33 km/h
3485897,Warganusa,610 m,99%,A shower,24° C,80%,1008.5 mbar,West Papua,28°,4:58 PM,https://www.accuweather.com/en/id/Warganusa/3485897/current-weather/3485897,0 Low,5 km,S at 15 km/h,18 km/h
3460194,Wukirsari,1859 m,80%,Mostly cloudy,25° C,67%,1008.0 mbar,Yogyakarta,32°,2:58 PM,https://www.accuweather.com/en/id/Wukirsari/3460194/current-weather/3460194,3 Moderate,10 km,NNE at 14 km/h,19 km/h
3483901,Wattang,1737 m,77%,Mostly cloudy,23° C,58%,1008.9 mbar,West Sulawesi,32°,3:58 PM,https://www.accuweather.com/en/id/Wattang/3483901/current-weather/3483901,2 Low,10 km,NNE at 11 km/h,18 km/h
206233,Tebing Tinggi,9022 m,76%,Thunderstorm,25° C,71%,1007.9 mbar,South Sumatra,30°,2:58 PM,https://www.accuweather.com/en/id/Tebing-Tinggi/206233/current-weather/206233,5 Moderate,8 km,S at 21 km/h,28 km/h
3476643,Teluk Tiram,1646 m,81%,Mostly cloudy,24° C,54%,1007.2 mbar,South Kalimantan,35°,3:58 PM,https://www.accuweather.com/en/id/Teluk-Tiram/3476643/current-weather/3476643,2 Low,8 km,N at 12 km/h,15 km/h
3453742,Wanasari,1920 m,73%,Thunderstorm,26° C,85%,1007.0 mbar,West Java,28°,2:58 PM,https://www.accuweather.com/en/id/Wanasari/3453742/current-weather/3453742,2 Low,3 km,NNE at 20 km/h,31 km/h
677725,Talang Kelapa,1646 m,90%,Thunderstorm,23° C,58%,1007.7 mbar,South Sumatra,32°,2:58 PM,https://www.accuweather.com/en/id/Talang-Kelapa/677725/current-weather/677725,2 Low,10 km,NE at 9 km/h,12 km/h
3476654,Teluk Dalam,1646 m,81%,Mostly cloudy,24° C,54%,1007.2 mbar,South Kalimantan,35°,3:58 PM,https://www.accuweather.com/en/id/Teluk-Dalam/3476654/current-weather/3476654,2 Low,8 km,N at 12 km/h,15 km/h
3431274,Medang Kampai,1646 m,84%,Mostly cloudy,23° C,55%,1008.3 mbar,Riau,33°,2:58 PM,https://www.accuweather.com/en/id/Medang-Kampai/3431274/current-weather/3431274,3 Moderate,11 km,SSE at 11 km/h,16 km/h
1967680,Titi Papan,1646 m,35%,Partly sunny,24° C,55%,1007.0 mbar,North Sumatra,34°,2:58 PM,https://www.accuweather.com/en/id/Titi-Papan/1967680/current-weather/1967680,5 Moderate,16 km,ENE at 32 km/h,32 km/h
3441427,Tuah Karya,1646 m,79%,Mostly cloudy,22° C,54%,1008.4 mbar,Riau,32°,2:58 PM,https://www.accuweather.com/en/id/Tuah-Karya/3441427/current-weather/3441427,3 Moderate,10 km,ESE at 14 km/h,16 km/h
