area_id,areaname,ceiling,cloud_cover,condition,dew_point,humidity,pressure,province,temperature,timestamp,url,uv_index,visibility,wind,wind_gust
3468859,Rembiga,9327 m,81%,Mostly cloudy,26°,75%,1010.00 mbar,West Nusa Tenggara,31°,1:00 PM,https://www.accuweather.com/en/id/Rembiga/3468859/current-weather/3468859,8 Very High,10 km,W at 10 km/h,13 km/h
3453742,Wanasari,0 m,83%,Mostly cloudy,23°,72%,1011.00 mbar,West Java,28°,12:00 PM,https://www.accuweather.com/en/id/Wanasari/3453742/current-weather/3453742,3 Moderate,6 km,ENE at 8 km/h,14 km/h
3454276,Tugu,0 m,35%,Partly sunny,26°,91%,1011.00 mbar,West Java,28°,12:00 PM,https://www.accuweather.com/en/id/Tugu/3454276/current-weather/3454276,6 High,5 km,SSE at 8 km/h,10 km/h
202512,Tasikmalaya,5913 m,88%,A shower,24°,68%,1010.70 mbar,West Java,30°,12:00 PM,https://www.accuweather.com/en/id/Tasikmalaya/202512/current-weather/202512,5 Moderate,10 km,ENE at 6 km/h,8 km/h
202751,Tapos,0 m,35%,Partly sunny,26°,91%,1011.00 mbar,West Java,28°,12:00 PM,https://www.accuweather.com/en/id/Tapos/202751/current-weather/202751,6 High,5 km,SSE at 8 km/h,10 km/h
3431511,Tanah Sereal,762 m,76%,Mostly cloudy,22°,75%,1011.00 mbar,West Java,27°,12:00 PM,https://www.accuweather.com/en/id/Tanah-Sereal/3431511/current-weather/3431511,4 Moderate,8 km,NE at 8 km/h,13 km/h
3471978,Wajo Hulu,5852 m,75%,Hazy sunshine,21°,57%,1011.40 mbar,West Kalimantan,30°,12:00 PM,https://www.accuweather.com/en/id/Wajo-Hulu/3471978/current-weather/3471978,6 High,16 km,NNE at 12 km/h,14 km/h
3472002,Terusan,5852 m,89%,Mostly cloudy,23°,61%,1011.40 mbar,West Kalimantan,31°,12:00 PM,https://www.accuweather.com/en/id/Terusan/3472002/current-weather/3472002,5 Moderate,16 km,ENE at 8 km/h,12 km/h
3445497,1 Ulu,457 m,84%,Mostly cloudy,24°,66%,1011.50 mbar,South Sumatra,31°,12:00 PM,https://www.accuweather.com/en/id/1-Ulu/3445497/current-weather/3445497,3 Moderate,6 km,NNW at 19 km/h,23 km/h
3476643,Teluk Tiram,3993 m,82%,Thunderstorm,24°,70%,1010.70 mbar,South Kalimantan,30°,1:00 PM,https://www.accuweather.com/en/id/Teluk-Tiram/3476643/current-weather/3476643,5 Moderate,6 km,ENE at 19 km/h,24 km/h
3476644,Telawang,3993 m,82%,Thunderstorm,24°,70%,1010.70 mbar,South Kalimantan,30°,1:00 PM,https://www.accuweather.com/en/id/Telawang/3476644/current-weather/3476644,5 Moderate,6 km,ENE at 19 km/h,24 km/h
3476645,Telaga Biru,3993 m,82%,Thunderstorm,24°,70%,1010.70 mbar,South Kalimantan,30°,1:00 PM,https://www.accuweather.com/en/id/Telaga-Biru/3476645/current-weather/3476645,5 Moderate,6 km,ENE at 19 km/h,24 km/h
3476654,Teluk Dalam,3993 m,82%,Thunderstorm,24°,70%,1010.70 mbar,South Kalimantan,30°,1:00 PM,https://www.accuweather.com/en/id/Teluk-Dalam/3476654/current-weather/3476654,5 Moderate,6 km,ENE at 19 km/h,24 km/h
206323,Lubuk Pakam,5486 m,62%,Clouds and sun,23°,70%,1011.70 mbar,North Sumatra,29°,12:00 PM,https://www.accuweather.com/en/id/Lubuk-Pakam/206323/current-weather/206323,7 High,10 km,SE at 11 km/h,14 km/h
3478709,Winangun I,0 m,35%,Partly sunny,25°,78%,1012.00 mbar,North Sulawesi,29°,1:00 PM,https://www.accuweather.com/en/id/Winangun-I/3478709/current-weather/3478709,6 High,16 km,N at 7 km/h,7 km/h
3441427,Tuah Karya,518 m,35%,Partly sunny,26°,85%,1012.10 mbar,Riau,29°,12:00 PM,https://www.accuweather.com/en/id/Tuah-Karya/3441427/current-weather/3441427,6 High,8 km,E at 15 km/h,18 km/h
3478002,Juata Laut,5852 m,94%,Cloudy,23°,65%,1012.50 mbar,North Kalimantan,31°,1:00 PM,https://www.accuweather.com/en/id/Juata-Laut/3478002/current-weather/3478002,4 Moderate,11 km,N at 16 km/h,20 km/h
3431247,Tarakan Utara,5852 m,94%,Cloudy,23°,65%,1012.50 mbar,North Kalimantan,31°,1:00 PM,https://www.accuweather.com/en/id/Tarakan-Utara/3431247/current-weather/3431247,4 Moderate,11 km,N at 16 km/h,20 km/h
3431252,Tarakan Timur,5852 m,94%,Cloudy,23°,65%,1012.50 mbar,North Kalimantan,31°,1:00 PM,https://www.accuweather.com/en/id/Tarakan-Timur/3431252/current-weather/3431252,4 Moderate,11 km,N at 16 km/h,20 km/h
3431631,Tarakan Barat,5852 m,94%,Cloudy,23°,65%,1012.50 mbar,North Kalimantan,31°,1:00 PM,https://www.accuweather.com/en/id/Tarakan-Barat/3431631/current-weather/3431631,4 Moderate,11 km,N at 16 km/h,20 km/h
3431250,Tarakan Tengah,5852 m,94%,Cloudy,23°,65%,1012.50 mbar,North Kalimantan,31°,1:00 PM,https://www.accuweather.com/en/id/Tarakan-Tengah/3431250/current-weather/3431250,4 Moderate,11 km,N at 16 km/h,20 km/h
