area_id,areaname,ceiling,cloud_cover,condition,dew_point,humidity,pressure,province,temperature,timestamp,url,uv_index,visibility,wind,wind_gust
211671,Yogyakarta,0 m,91%,Cloudy,24°,66%,1009.80 mbar,Yogyakarta,31°,12:00 PM,https://www.accuweather.com/en/id/Yogyakarta/211671/current-weather/211671,3 Moderate,10 km,S at 9 km/h,12 km/h
3460335,Wedomartani,0 m,91%,Cloudy,24°,66%,1009.80 mbar,Yogyakarta,31°,12:00 PM,https://www.accuweather.com/en/id/Wedomartani/3460335/current-weather/3460335,3 Moderate,10 km,S at 9 km/h,12 km/h
3431577,Umbulharjo,0 m,91%,Cloudy,24°,66%,1009.80 mbar,Yogyakarta,31°,12:00 PM,https://www.accuweather.com/en/id/Umbulharjo/3431577/current-weather/3431577,3 Moderate,10 km,S at 9 km/h,12 km/h
1892790,Buahbatu,5944 m,83%,Mostly cloudy,20°,71%,1010.50 mbar,West Java,26°,12:00 PM,https://www.accuweather.com/en/id/Buahbatu/1892790/current-weather/1892790,6 High,11 km,WNW at 8 km/h,10 km/h
3431614,Bojongsari,5822 m,35%,Partly sunny,26°,91%,1011.00 mbar,West Java,28°,12:00 PM,https://www.accuweather.com/en/id/Bojongsari/3431614/current-weather/3431614,10 Very High,5 km,WNW at 6 km/h,8 km/h
202727,Rengasdengklok,5852 m,29%,Mostly sunny,25°,73%,1011.00 mbar,West Java,30°,12:00 PM,https://www.accuweather.com/en/id/Rengasdengklok/202727/current-weather/202727,10 Very High,11 km,NNW at 11 km/h,16 km/h
3486025,Wosi,5944 m,23%,Mostly sunny,21°,57%,1010.00 mbar,West Papua,31°,2:00 PM,https://www.accuweather.com/en/id/Wosi/3486025/current-weather/3486025,9 Very High,11 km,W at 12 km/h,15 km/h
3471978,Wajo Hulu,9327 m,81%,Mostly cloudy,25°,74%,1010.10 mbar,West Kalimantan,30°,12:00 PM,https://www.accuweather.com/en/id/Wajo-Hulu/3471978/current-weather/3471978,6 High,11 km,SE at 1 km/h,2 km/h
205754,Watan Soppeng,5944 m,70%,Clouds and sun,25°,68%,1010.00 mbar,South Sulawesi,32°,1:00 PM,https://www.accuweather.com/en/id/Watan-Soppeng/205754/current-weather/205754,8 Very High,11 km,E at 13 km/h,18 km/h
3431746,Wua-Wua,5852 m,54%,Clouds and sun,25°,72%,1009.70 mbar,Southeast Sulawesi,30°,1:00 PM,https://www.accuweather.com/en/id/Wua-Wua/3431746/current-weather/3431746,9 Very High,11 km,NE at 15 km/h,18 km/h
3478731,Wangurer Barat,5334 m,80%,Mostly cloudy,23°,60%,1011.00 mbar,North Sulawesi,31°,1:00 PM,https://www.accuweather.com/en/id/Wangurer-Barat/3478731/current-weather/3478731,6 High,16 km,N at 10 km/h,14 km/h
205755,Wotu,5425 m,33%,Partly sunny,23°,59%,1010.80 mbar,South Sulawesi,32°,1:00 PM,https://www.accuweather.com/en/id/Wotu/205755/current-weather/205755,11 Extreme,11 km,S at 11 km/h,15 km/h
1896524,Wenang,0 m,35%,Partly sunny,25°,62%,1011.00 mbar,North Sulawesi,33°,1:00 PM,https://www.accuweather.com/en/id/Wenang/1896524/current-weather/1896524,6 High,16 km,N at 15 km/h,15 km/h
3441427,Tuah Karya,488 m,65%,Clouds and sun,24°,73%,1012.20 mbar,Riau,29°,12:00 PM,https://www.accuweather.com/en/id/Tuah-Karya/3441427/current-weather/3441427,4 Moderate,10 km,NNE at 11 km/h,13 km/h
204993,Tobelo,5852 m,84%,Mostly cloudy,24°,68%,1010.70 mbar,North Maluku,30°,2:00 PM,https://www.accuweather.com/en/id/Tobelo/204993/current-weather/204993,5 Moderate,16 km,ENE at 10 km/h,14 km/h
1983119,Wanea,0 m,35%,Partly sunny,25°,62%,1011.00 mbar,North Sulawesi,33°,1:00 PM,https://www.accuweather.com/en/id/Wanea/1983119/current-weather/1983119,6 High,16 km,N at 15 km/h,15 km/h
3478709,Winangun I,0 m,35%,Partly sunny,25°,62%,1011.00 mbar,North Sulawesi,33°,1:00 PM,https://www.accuweather.com/en/id/Winangun-I/3478709/current-weather/3478709,6 High,16 km,N at 15 km/h,15 km/h
3431317,Tidore Utara,5852 m,49%,Partly sunny,25°,72%,1010.60 mbar,North Maluku,31°,2:00 PM,https://www.accuweather.com/en/id/Tidore-Utara/3431317/current-weather/3431317,8 Very High,16 km,SE at 15 km/h,19 km/h
3431319,Tidore Timur,5852 m,49%,Partly sunny,25°,72%,1010.60 mbar,North Maluku,31°,2:00 PM,https://www.accuweather.com/en/id/Tidore-Timur/3431319/current-weather/3431319,8 Very High,16 km,SE at 15 km/h,19 km/h
3476654,Teluk Dalam,6005 m,43%,Partly sunny,23°,56%,1009.40 mbar,South Kalimantan,33°,1:00 PM,https://www.accuweather.com/en/id/Teluk-Dalam/3476654/current-weather/3476654,11 Extreme,11 km,NNE at 24 km/h,29 km/h
