area_id,areaname,ceiling,cloud_cover,condition,dew_point,humidity,pressure,province,temperature,timestamp,url,uv_index,visibility,wind,wind_gust
3453742,Wanasari,4877 m,85%,Mostly cloudy,24°,76%,1010.00 mbar,West Java,29°,12:00 PM,https://www.accuweather.com/en/id/Wanasari/3453742/current-weather/3453742,5 Moderate,10 km,WNW at 21 km/h,27 km/h
3483842,Luyo,5639 m,97%,Cloudy,22°,50%,1008.30 mbar,West Sulawesi,34°,1:00 PM,https://www.accuweather.com/en/id/Luyo/3483842/current-weather/3483842,4 Moderate,11 km,NW at 6 km/h,8 km/h
206184,Ujuang Gadiang,6035 m,34%,Partly sunny,23°,61%,1010.70 mbar,West Sumatra,31°,12:00 PM,https://www.accuweather.com/en/id/Ujuang-Gadiang/206184/current-weather/206184,8 Very High,11 km,S at 7 km/h,10 km/h
3483724,Totoli,2530 m,75%,Hazy sunshine,24°,62%,1008.10 mbar,West Sulawesi,32°,1:00 PM,https://www.accuweather.com/en/id/Totoli/3483724/current-weather/3483724,5 Moderate,10 km,N at 14 km/h,18 km/h
3483901,Wattang,5883 m,91%,Cloudy,24°,60%,1008.00 mbar,West Sulawesi,32°,1:00 PM,https://www.accuweather.com/en/id/Wattang/3483901/current-weather/3483901,5 Moderate,11 km,WNW at 11 km/h,15 km/h
3431746,Wua-Wua,2256 m,85%,Mostly cloudy,24°,70%,1007.00 mbar,Southeast Sulawesi,30°,1:00 PM,https://www.accuweather.com/en/id/Wua-Wua/3431746/current-weather/3431746,4 Moderate,8 km,NNE at 10 km/h,12 km/h
3471978,Wajo Hulu,9327 m,87%,Mostly cloudy,24°,69%,1008.90 mbar,West Kalimantan,30°,12:00 PM,https://www.accuweather.com/en/id/Wajo-Hulu/3471978/current-weather/3471978,5 Moderate,10 km,N at 11 km/h,14 km/h
3431430,Lubuk Linggau Selatan I,5852 m,45%,Partly sunny,22°,75%,1010.50 mbar,South Sumatra,27°,12:00 PM,https://www.accuweather.com/en/id/Lubuk-Linggau-Selatan-I/3431430/current-weather/3431430,9 Very High,10 km,NNE at 10 km/h,12 km/h
677725,Talang Kelapa,0 m,87%,Mostly cloudy,25°,74%,1010.20 mbar,South Sumatra,30°,12:00 PM,https://www.accuweather.com/en/id/Talang-Kelapa/677725/current-weather/677725,3 Moderate,8 km,NNW at 22 km/h,26 km/h
3441436,Tengkerang Tengah,5425 m,67%,Clouds and sun,24°,72%,1011.70 mbar,Riau,29°,12:00 PM,https://www.accuweather.com/en/id/Tengkerang-Tengah/3441436/current-weather/3441436,6 High,11 km,NNE at 10 km/h,12 km/h
206233,Tebing Tinggi,5852 m,70%,A shower,22°,74%,1010.50 mbar,South Sumatra,27°,12:00 PM,https://www.accuweather.com/en/id/Tebing-Tinggi/206233/current-weather/206233,6 High,8 km,N at 9 km/h,12 km/h
3441441,Tengkerang Timur,5425 m,67%,Clouds and sun,24°,72%,1011.70 mbar,Riau,29°,12:00 PM,https://www.accuweather.com/en/id/Tengkerang-Timur/3441441/current-weather/3441441,6 High,11 km,NNE at 10 km/h,12 km/h
3441427,Tuah Karya,5425 m,67%,Clouds and sun,24°,72%,1011.70 mbar,Riau,29°,12:00 PM,https://www.accuweather.com/en/id/Tuah-Karya/3441427/current-weather/3441427,6 High,11 km,NNE at 10 km/h,12 km/h
205649,Selat Panjang Kota,5883 m,70%,A shower,24°,74%,1011.40 mbar,Riau,29°,12:00 PM,https://www.accuweather.com/en/id/Selat-Panjang-Kota/205649/current-weather/205649,4 Moderate,8 km,NNW at 12 km/h,16 km/h
1967680,Titi Papan,5852 m,35%,Partly sunny,24°,74%,1012.00 mbar,North Sumatra,29°,12:00 PM,https://www.accuweather.com/en/id/Titi-Papan/1967680/current-weather/1967680,8 Very High,16 km,NW at 17 km/h,17 km/h
3478709,Winangun I,8931 m,35%,Partly sunny,25°,74%,1009.00 mbar,North Sulawesi,30°,1:00 PM,https://www.accuweather.com/en/id/Winangun-I/3478709/current-weather/3478709,9 Very High,10 km,NW at 11 km/h,11 km/h
3449045,Wonodadi,7285 m,98%,Cloudy,24°,84%,1009.30 mbar,Lampung,27°,12:00 PM,https://www.accuweather.com/en/id/Wonodadi/3449045/current-weather/3449045,4 Moderate,8 km,W at 14 km/h,18 km/h
3448160,Yukum Jaya,7285 m,98%,Cloudy,24°,80%,1009.30 mbar,Lampung,28°,12:00 PM,https://www.accuweather.com/en/id/Yukum-Jaya/3448160/current-weather/3448160,4 Moderate,10 km,W at 16 km/h,20 km/h
675919,Wonreli,4420 m,98%,Cloudy,25°,79%,1006.60 mbar,Maluku,29°,2:00 PM,https://www.accuweather.com/en/id/Wonreli/675919/current-weather/675919,3 Moderate,10 km,W at 27 km/h,35 km/h
3447672,Way Urang,4542 m,95%,Cloudy,23°,78%,1009.20 mbar,Lampung,28°,12:00 PM,https://www.accuweather.com/en/id/Way-Urang/3447672/current-weather/3447672,4 Moderate,10 km,NW at 13 km/h,17 km/h
3447544,Way Huwi,7285 m,98%,Cloudy,24°,84%,1009.30 mbar,Lampung,27°,12:00 PM,https://www.accuweather.com/en/id/Way-Huwi/3447544/current-weather/3447544,4 Moderate,8 km,W at 14 km/h,18 km/h
204353,Terbanggi Besar,7285 m,98%,Cloudy,24°,80%,1009.30 mbar,Lampung,28°,12:00 PM,https://www.accuweather.com/en/id/Terbanggi-Besar/204353/current-weather/204353,4 Moderate,10 km,W at 16 km/h,20 km/h
3431488,Telukbetung Timur,5669 m,95%,Cloudy,23°,71%,1009.20 mbar,Lampung,29°,12:00 PM,https://www.accuweather.com/en/id/Telukbetung-Timur/3431488/current-weather/3431488,4 Moderate,8 km,NNW at 11 km/h,15 km/h
3431479,Way Halim,7285 m,98%,Cloudy,24°,84%,1009.30 mbar,Lampung,27°,12:00 PM,https://www.accuweather.com/en/id/Way-Halim/3431479/current-weather/3431479,4 Moderate,8 km,W at 14 km/h,18 km/h
3431483,Teluk Betung Utara,5669 m,95%,Cloudy,23°,71%,1009.20 mbar,Lampung,29°,12:00 PM,https://www.accuweather.com/en/id/Teluk-Betung-Utara/3431483/current-weather/3431483,4 Moderate,8 km,NNW at 11 km/h,15 km/h
3431657,Tanjung Senang,7285 m,98%,Cloudy,24°,84%,1009.30 mbar,Lampung,27°,12:00 PM,https://www.accuweather.com/en/id/Tanjung-Senang/3431657/current-weather/3431657,4 Moderate,8 km,W at 14 km/h,18 km/h
3431481,Tanjung Karang Timur,5669 m,95%,Cloudy,23°,71%,1009.20 mbar,Lampung,29°,12:00 PM,https://www.accuweather.com/en/id/Tanjung-Karang-Timur/3431481/current-weather/3431481,4 Moderate,8 km,NNW at 11 km/h,15 km/h
3431484,Teluk Betung Barat,5669 m,95%,Cloudy,23°,71%,1009.20 mbar,Lampung,29°,12:00 PM,https://www.accuweather.com/en/id/Teluk-Betung-Barat/3431484/current-weather/3431484,4 Moderate,8 km,NNW at 11 km/h,15 km/h
3431485,Teluk Betung Selatan,5669 m,95%,Cloudy,23°,71%,1009.20 mbar,Lampung,29°,12:00 PM,https://www.accuweather.com/en/id/Teluk-Betung-Selatan/3431485/current-weather/3431485,4 Moderate,8 km,NNW at 11 km/h,15 km/h
3431482,Tanjung Karang Pusat,7285 m,98%,Cloudy,24°,84%,1009.30 mbar,Lampung,27°,12:00 PM,https://www.accuweather.com/en/id/Tanjung-Karang-Pusat/3431482/current-weather/3431482,4 Moderate,8 km,W at 14 km/h,18 km/h
3431480,Tanjung Karang Barat,7285 m,98%,Cloudy,24°,84%,1009.30 mbar,Lampung,27°,12:00 PM,https://www.accuweather.com/en/id/Tanjung-Karang-Barat/3431480/current-weather/3431480,4 Moderate,8 km,W at 14 km/h,18 km/h
3448378,Tanjung Aman,7285 m,96%,Cloudy,23°,70%,1009.40 mbar,Lampung,28°,12:00 PM,https://www.accuweather.com/en/id/Tanjung-Aman/3448378/current-weather/3448378,4 Moderate,8 km,NNW at 11 km/h,14 km/h
3448840,Sungai Nibung,4907 m,98%,Cloudy,23°,70%,1009.20 mbar,Lampung,29°,12:00 PM,https://www.accuweather.com/en/id/Sungai-Nibung/3448840/current-weather/3448840,3 Moderate,10 km,NW at 14 km/h,19 km/h
3449361,Sukaraja,5669 m,95%,Cloudy,23°,71%,1009.20 mbar,Lampung,29°,12:00 PM,https://www.accuweather.com/en/id/Sukaraja/3449361/current-weather/3449361,4 Moderate,8 km,NNW at 11 km/h,15 km/h
3431659,Sukarame,7285 m,98%,Cloudy,24°,84%,1009.30 mbar,Lampung,27°,12:00 PM,https://www.accuweather.com/en/id/Sukarame/3431659/current-weather/3431659,4 Moderate,8 km,W at 14 km/h,18 km/h
204295,Sukadana,7346 m,98%,Cloudy,23°,72%,1009.20 mbar,Lampung,28°,12:00 PM,https://www.accuweather.com/en/id/Sukadana/204295/current-weather/204295,4 Moderate,10 km,NW at 15 km/h,20 km/h
3449436,Sepang Jaya,7285 m,98%,Cloudy,24°,84%,1009.30 mbar,Lampung,27°,12:00 PM,https://www.accuweather.com/en/id/Sepang-Jaya/3449436/current-weather/3449436,4 Moderate,8 km,W at 14 km/h,18 km/h
3431660,Sukabumi,7285 m,98%,Cloudy,24°,84%,1009.30 mbar,Lampung,27°,12:00 PM,https://www.accuweather.com/en/id/Sukabumi/3431660/current-weather/3431660,4 Moderate,8 km,W at 14 km/h,18 km/h
3449404,Sukajawa Baru,7285 m,98%,Cloudy,24°,84%,1009.30 mbar,Lampung,27°,12:00 PM,https://www.accuweather.com/en/id/Sukajawa-Baru/3449404/current-weather/3449404,4 Moderate,8 km,W at 14 km/h,18 km/h
3449401,Sukajawa,7285 m,98%,Cloudy,24°,84%,1009.30 mbar,Lampung,27°,12:00 PM,https://www.accuweather.com/en/id/Sukajawa/3449401/current-weather/3449401,4 Moderate,8 km,W at 14 km/h,18 km/h
3449403,Segala Mider,7285 m,98%,Cloudy,24°,84%,1009.30 mbar,Lampung,27°,12:00 PM,https://www.accuweather.com/en/id/Segala-Mider/3449403/current-weather/3449403,4 Moderate,8 km,W at 14 km/h,18 km/h
3447923,Raja Basa Lama,7346 m,98%,Cloudy,23°,72%,1009.20 mbar,Lampung,28°,12:00 PM,https://www.accuweather.com/en/id/Raja-Basa-Lama/3447923/current-weather/3447923,4 Moderate,10 km,NW at 15 km/h,20 km/h
