area_id,areaname,ceiling,cloud_cover,condition,dew_point,humidity,pressure,province,temperature,timestamp,url,uv_index,visibility,wind,wind_gust
3453742,Wanasari,1676 m,95%,Cloudy,23°,71%,1009.00 mbar,West Java,29°,12:00 PM,https://www.accuweather.com/en/id/Wanasari/3453742/current-weather/3453742,3 Moderate,8 km,WNW at 19 km/h,26 km/h
3454276,Tugu,1798 m,35%,Partly sunny,25°,74%,1009.00 mbar,West Java,30°,12:00 PM,https://www.accuweather.com/en/id/Tugu/3454276/current-weather/3454276,7 High,5 km,W at 15 km/h,18 km/h
202512,Tasikmalaya,1859 m,97%,Cloudy,21°,65%,1009.50 mbar,West Java,28°,12:00 PM,https://www.accuweather.com/en/id/Tasikmalaya/202512/current-weather/202512,3 Moderate,8 km,ESE at 7 km/h,9 km/h
202751,Tapos,1798 m,35%,Partly sunny,25°,74%,1009.00 mbar,West Java,30°,12:00 PM,https://www.accuweather.com/en/id/Tapos/202751/current-weather/202751,7 High,5 km,W at 15 km/h,18 km/h
202746,Sumedang,1829 m,92%,Cloudy,19°,71%,1009.60 mbar,West Java,25°,12:00 PM,https://www.accuweather.com/en/id/Sumedang/202746/current-weather/202746,3 Moderate,8 km,NW at 7 km/h,10 km/h
678039,Sumedang Utara,1829 m,92%,Cloudy,19°,71%,1009.60 mbar,West Java,25°,12:00 PM,https://www.accuweather.com/en/id/Sumedang-Utara/678039/current-weather/678039,3 Moderate,8 km,NW at 7 km/h,10 km/h
3468385,Wanasaba,5761 m,45%,Partly sunny,23°,58%,1008.00 mbar,West Nusa Tenggara,32°,1:00 PM,https://www.accuweather.com/en/id/Wanasaba/3468385/current-weather/3468385,11 Extreme,8 km,WSW at 20 km/h,20 km/h
3468875,Turida,5822 m,70%,Clouds and sun,25°,75%,1008.00 mbar,West Nusa Tenggara,30°,1:00 PM,https://www.accuweather.com/en/id/Turida/3468875/current-weather/3468875,8 Very High,10 km,WNW at 20 km/h,22 km/h
3468201,Waja Geseng,5883 m,94%,Cloudy,22°,70%,1009.40 mbar,West Nusa Tenggara,28°,1:00 PM,https://www.accuweather.com/en/id/Waja-Geseng/3468201/current-weather/3468201,5 Moderate,10 km,NNW at 32 km/h,35 km/h
3468309,Tetebatu,5883 m,94%,Cloudy,22°,70%,1009.40 mbar,West Nusa Tenggara,28°,1:00 PM,https://www.accuweather.com/en/id/Tetebatu/3468309/current-weather/3468309,5 Moderate,10 km,NNW at 32 km/h,35 km/h
3445608,Wonosari,2195 m,90%,Thunderstorm,24°,84%,1010.90 mbar,South Sumatra,27°,12:00 PM,https://www.accuweather.com/en/id/Wonosari/3445608/current-weather/3445608,3 Moderate,6 km,NNW at 9 km/h,14 km/h
3442926,Tugumulyo,5273 m,92%,Cloudy,23°,77%,1010.60 mbar,South Sumatra,28°,12:00 PM,https://www.accuweather.com/en/id/Tugumulyo/3442926/current-weather/3442926,4 Moderate,10 km,NW at 8 km/h,13 km/h
3431511,Tanah Sereal,1829 m,98%,Cloudy,22°,76%,1009.00 mbar,West Java,27°,12:00 PM,https://www.accuweather.com/en/id/Tanah-Sereal/3431511/current-weather/3431511,3 Moderate,8 km,W at 13 km/h,18 km/h
3478709,Winangun I,5639 m,35%,Partly sunny,24°,62%,1007.00 mbar,North Sulawesi,32°,1:00 PM,https://www.accuweather.com/en/id/Winangun-I/3478709/current-weather/3478709,9 Very High,16 km,N at 17 km/h,17 km/h
3476647,Belitung Selatan,2682 m,100%,Cloudy,25°,88%,1009.20 mbar,South Kalimantan,27°,1:00 PM,https://www.accuweather.com/en/id/Belitung-Selatan/3476647/current-weather/3476647,3 Moderate,8 km,SW at 9 km/h,10 km/h
205748,Pinrang,1341 m,93%,Cloudy,25°,90%,1008.20 mbar,South Sulawesi,27°,1:00 PM,https://www.accuweather.com/en/id/Pinrang/205748/current-weather/205748,3 Moderate,8 km,NNW at 20 km/h,26 km/h
1896524,Wenang,5639 m,35%,Partly sunny,24°,62%,1007.00 mbar,North Sulawesi,32°,1:00 PM,https://www.accuweather.com/en/id/Wenang/1896524/current-weather/1896524,9 Very High,16 km,N at 17 km/h,17 km/h
3478731,Wangurer Barat,3627 m,97%,Cloudy,22°,62%,1007.00 mbar,North Sulawesi,30°,1:00 PM,https://www.accuweather.com/en/id/Wangurer-Barat/3478731/current-weather/3478731,3 Moderate,11 km,N at 9 km/h,12 km/h
