area_id,areaname,ceiling,cloud_cover,condition,dew_point,humidity,pressure,province,temperature,timestamp,url,uv_index,visibility,wind,wind_gust
3453742,Wanasari,6949 m,79%,Mostly cloudy,24°,67%,1012.00 mbar,West Java,30°,12:08 PM,https://www.accuweather.com/en/id/Wanasari/3453742/current-weather/3453742,7 High,6 km,NNE at 12 km/h,16 km/h
3483117,Wowawanggu,7529 m,88%,Thunderstorm,24°,71%,1010.80 mbar,Southeast Sulawesi,30°,1:08 PM,https://www.accuweather.com/en/id/Wowawanggu/3483117/current-weather/3483117,5 Moderate,10 km,ENE at 8 km/h,10 km/h
3483115,Tobuuha,7529 m,88%,Thunderstorm,24°,71%,1010.80 mbar,Southeast Sulawesi,30°,1:08 PM,https://www.accuweather.com/en/id/Tobuuha/3483115/current-weather/3483115,5 Moderate,10 km,ENE at 8 km/h,10 km/h
3431746,Wua-Wua,7529 m,88%,Thunderstorm,24°,71%,1010.80 mbar,Southeast Sulawesi,30°,1:08 PM,https://www.accuweather.com/en/id/Wua-Wua/3431746/current-weather/3431746,5 Moderate,10 km,ENE at 8 km/h,10 km/h
3431366,Tanjung Harapan,945 m,95%,Cloudy,21°,69%,1011.10 mbar,West Sumatra,27°,12:08 PM,https://www.accuweather.com/en/id/Tanjung-Harapan/3431366/current-weather/3431366,3 Moderate,6 km,NE at 6 km/h,8 km/h
206184,Ujuang Gadiang,305 m,95%,Cloudy,22°,66%,1011.00 mbar,West Sumatra,30°,12:08 PM,https://www.accuweather.com/en/id/Ujuang-Gadiang/206184/current-weather/206184,2 Low,6 km,SE at 3 km/h,4 km/h
206233,Tebing Tinggi,6614 m,91%,Cloudy,23°,67%,1011.10 mbar,South Sumatra,30°,12:08 PM,https://www.accuweather.com/en/id/Tebing-Tinggi/206233/current-weather/206233,5 Moderate,10 km,N at 5 km/h,7 km/h
677725,Talang Kelapa,6888 m,55%,Clouds and sun,24°,69%,1010.90 mbar,South Sumatra,31°,12:08 PM,https://www.accuweather.com/en/id/Talang-Kelapa/677725/current-weather/677725,9 Very High,11 km,NNW at 11 km/h,11 km/h
3476654,Teluk Dalam,6888 m,85%,Mostly cloudy,24°,75%,1010.20 mbar,South Kalimantan,29°,1:08 PM,https://www.accuweather.com/en/id/Teluk-Dalam/3476654/current-weather/3476654,5 Moderate,8 km,E at 9 km/h,11 km/h
3450030,Tiban Lama,5852 m,35%,Partly sunny,24°,65%,1012.00 mbar,Riau Islands,31°,12:08 PM,https://www.accuweather.com/en/id/Tiban-Lama/3450030/current-weather/3450030,8 Very High,16 km,NE at 28 km/h,33 km/h
3476643,Teluk Tiram,6888 m,85%,Mostly cloudy,24°,75%,1010.20 mbar,South Kalimantan,29°,1:08 PM,https://www.accuweather.com/en/id/Teluk-Tiram/3476643/current-weather/3476643,5 Moderate,8 km,E at 9 km/h,11 km/h
3431317,Tidore Utara,6949 m,59%,Clouds and sun,25°,68%,1010.40 mbar,North Maluku,32°,2:08 PM,https://www.accuweather.com/en/id/Tidore-Utara/3431317/current-weather/3431317,5 Moderate,16 km,SE at 14 km/h,18 km/h
204993,Tobelo,6949 m,75%,Hazy sunshine,23°,62%,1010.30 mbar,North Maluku,30°,2:08 PM,https://www.accuweather.com/en/id/Tobelo/204993/current-weather/204993,4 Moderate,16 km,ENE at 9 km/h,13 km/h
1896524,Wenang,5791 m,35%,Partly sunny,23°,52%,1011.00 mbar,North Sulawesi,34°,1:08 PM,https://www.accuweather.com/en/id/Wenang/1896524/current-weather/1896524,9 Very High,16 km,ENE at 11 km/h,11 km/h
3476644,Telawang,6888 m,85%,Mostly cloudy,24°,75%,1010.20 mbar,South Kalimantan,29°,1:08 PM,https://www.accuweather.com/en/id/Telawang/3476644/current-weather/3476644,5 Moderate,8 km,E at 9 km/h,11 km/h
3441427,Tuah Karya,9266 m,86%,Mostly cloudy,25°,75%,1011.50 mbar,Riau,30°,12:08 PM,https://www.accuweather.com/en/id/Tuah-Karya/3441427/current-weather/3441427,6 High,6 km,S at 1 km/h,1 km/h
3431319,Tidore Timur,6949 m,59%,Clouds and sun,25°,68%,1010.40 mbar,North Maluku,32°,2:08 PM,https://www.accuweather.com/en/id/Tidore-Timur/3431319/current-weather/3431319,5 Moderate,16 km,SE at 14 km/h,18 km/h
3478709,Winangun I,5791 m,35%,Partly sunny,23°,52%,1011.00 mbar,North Sulawesi,34°,1:08 PM,https://www.accuweather.com/en/id/Winangun-I/3478709/current-weather/3478709,9 Very High,16 km,ENE at 11 km/h,11 km/h
3431602,Tenayan Raya,9266 m,86%,Mostly cloudy,25°,75%,1011.50 mbar,Riau,30°,12:08 PM,https://www.accuweather.com/en/id/Tenayan-Raya/3431602/current-weather/3431602,6 High,6 km,S at 1 km/h,1 km/h
3441436,Tengkerang Tengah,9266 m,86%,Mostly cloudy,25°,75%,1011.50 mbar,Riau,30°,12:08 PM,https://www.accuweather.com/en/id/Tengkerang-Tengah/3441436/current-weather/3441436,6 High,6 km,S at 1 km/h,1 km/h
3441441,Tengkerang Timur,9266 m,86%,Mostly cloudy,25°,75%,1011.50 mbar,Riau,30°,12:08 PM,https://www.accuweather.com/en/id/Tengkerang-Timur/3441441/current-weather/3441441,6 High,6 km,S at 1 km/h,1 km/h
3440566,Tembilahan Hulu,0 m,95%,Cloudy,26°,83%,1011.10 mbar,Riau,29°,12:08 PM,https://www.accuweather.com/en/id/Tembilahan-Hulu/3440566/current-weather/3440566,2 Low,8 km,NNE at 10 km/h,13 km/h
3441131,Tambusai Utara,518 m,91%,Cloudy,24°,68%,1011.40 mbar,Riau,30°,12:08 PM,https://www.accuweather.com/en/id/Tambusai-Utara/3441131/current-weather/3441131,3 Moderate,6 km,SSE at 5 km/h,7 km/h
1969753,Tampan,9266 m,86%,Mostly cloudy,25°,75%,1011.50 mbar,Riau,30°,12:08 PM,https://www.accuweather.com/en/id/Tampan/1969753/current-weather/1969753,6 High,6 km,S at 1 km/h,1 km/h
1969769,Sukajadi,9266 m,86%,Mostly cloudy,25°,75%,1011.50 mbar,Riau,30°,12:08 PM,https://www.accuweather.com/en/id/Sukajadi/1969769/current-weather/1969769,6 High,6 km,S at 1 km/h,1 km/h
3431267,Sungai Sembilan,5944 m,63%,Clouds and sun,22°,61%,1011.40 mbar,Riau,30°,12:08 PM,https://www.accuweather.com/en/id/Sungai-Sembilan/3431267/current-weather/3431267,6 High,11 km,ESE at 10 km/h,13 km/h
3441171,Talang Mandi,8717 m,79%,Mostly cloudy,23°,60%,1011.40 mbar,Riau,31°,12:08 PM,https://www.accuweather.com/en/id/Talang-Mandi/3441171/current-weather/3441171,6 High,10 km,SE at 10 km/h,12 km/h
3441449,Sri Meranti,9266 m,86%,Mostly cloudy,25°,75%,1011.50 mbar,Riau,30°,12:08 PM,https://www.accuweather.com/en/id/Sri-Meranti/3441449/current-weather/3441449,6 High,6 km,S at 1 km/h,1 km/h
