area_id,areaname,ceiling,cloud_cover,condition,dew_point,humidity,pressure,province,temperature,timestamp,url,uv_index,visibility,wind,wind_gust
1968292,Uteun Kot,5852 m,37%,Partly sunny,23°,69%,1012.70 mbar,Aceh,29°,12:00 PM,https://www.accuweather.com/en/id/Uteun-Kot/1968292/current-weather/1968292,7 High,16 km,SE at 23 km/h,28 km/h
3453742,Wanasari,4938 m,82%,Mostly cloudy,23°,69%,1010.00 mbar,West Java,30°,12:00 PM,https://www.accuweather.com/en/id/Wanasari/3453742/current-weather/3453742,5 Moderate,16 km,NW at 16 km/h,22 km/h
3454276,Tugu,4938 m,35%,Partly sunny,25°,85%,1010.00 mbar,West Java,28°,12:00 PM,https://www.accuweather.com/en/id/Tugu/3454276/current-weather/3454276,9 Very High,2 km,NNW at 11 km/h,13 km/h
3483901,Wattang,3840 m,91%,Cloudy,23°,66%,1009.70 mbar,West Sulawesi,30°,1:00 PM,https://www.accuweather.com/en/id/Wattang/3483901/current-weather/3483901,4 Moderate,10 km,ESE at 10 km/h,13 km/h
202512,Tasikmalaya,6523 m,70%,Clouds and sun,22°,62%,1009.70 mbar,West Java,30°,12:00 PM,https://www.accuweather.com/en/id/Tasikmalaya/202512/current-weather/202512,7 High,16 km,SSE at 6 km/h,8 km/h
3468201,Waja Geseng,5944 m,74%,Clouds and sun,23°,79%,1009.20 mbar,West Nusa Tenggara,27°,1:00 PM,https://www.accuweather.com/en/id/Waja-Geseng/3468201/current-weather/3468201,7 High,8 km,NNW at 26 km/h,31 km/h
3468385,Wanasaba,5883 m,35%,Partly sunny,25°,70%,1008.00 mbar,West Nusa Tenggara,31°,1:00 PM,https://www.accuweather.com/en/id/Wanasaba/3468385/current-weather/3468385,11 Extreme,10 km,N at 17 km/h,17 km/h
3484028,Leko,5395 m,96%,Cloudy,17°,71%,1010.20 mbar,West Sulawesi,23°,1:00 PM,https://www.accuweather.com/en/id/Leko/3484028/current-weather/3484028,4 Moderate,11 km,N at 10 km/h,13 km/h
3484207,Tobadak,3993 m,98%,Cloudy,23°,74%,1010.70 mbar,West Sulawesi,28°,1:00 PM,https://www.accuweather.com/en/id/Tobadak/3484207/current-weather/3484207,3 Moderate,10 km,SSE at 8 km/h,11 km/h
3476643,Teluk Tiram,732 m,86%,Mostly cloudy,24°,68%,1009.60 mbar,South Kalimantan,30°,1:00 PM,https://www.accuweather.com/en/id/Teluk-Tiram/3476643/current-weather/3476643,3 Moderate,8 km,NE at 10 km/h,12 km/h
205755,Wotu,4145 m,98%,Cloudy,24°,65%,1010.10 mbar,South Sulawesi,31°,1:00 PM,https://www.accuweather.com/en/id/Wotu/205755/current-weather/205755,3 Moderate,10 km,SSE at 9 km/h,12 km/h
3490303,Yabansai,5486 m,35%,Partly sunny,23°,58%,1005.00 mbar,Papua,32°,2:00 PM,https://www.accuweather.com/en/id/Yabansai/3490303/current-weather/3490303,9 Very High,16 km,W at 15 km/h,15 km/h
205754,Watan Soppeng,4450 m,96%,Cloudy,22°,64%,1008.90 mbar,South Sulawesi,30°,1:00 PM,https://www.accuweather.com/en/id/Watan-Soppeng/205754/current-weather/205754,4 Moderate,11 km,NNW at 13 km/h,16 km/h
3490293,Yobe,5486 m,35%,Partly sunny,23°,58%,1005.00 mbar,Papua,32°,2:00 PM,https://www.accuweather.com/en/id/Yobe/3490293/current-weather/3490293,9 Very High,16 km,W at 15 km/h,15 km/h
206184,Ujuang Gadiang,6035 m,93%,Cloudy,22°,59%,1011.00 mbar,West Sumatra,31°,12:00 PM,https://www.accuweather.com/en/id/Ujuang-Gadiang/206184/current-weather/206184,4 Moderate,16 km,WSW at 6 km/h,8 km/h
3450030,Tiban Lama,5852 m,35%,Partly sunny,23°,65%,1012.00 mbar,Riau Islands,30°,12:00 PM,https://www.accuweather.com/en/id/Tiban-Lama/3450030/current-weather/3450030,8 Very High,16 km,NNE at 19 km/h,23 km/h
