area_id,areaname,ceiling,cloud_cover,condition,dew_point,humidity,pressure,province,temperature,timestamp,url,uv_index,visibility,wind,wind_gust
211671,Yogyakarta,3322 m,99%,Cloudy,21°,68%,1012.0 mbar,Yogyakarta,28°,12:00 PM,https://www.accuweather.com/en/id/Yogyakarta/211671/current-weather/211671,3 Moderate,10 km,SW at 14 km/h,19 km/h
3468385,Wanasaba,3353 m,100%,Rain,24°,94%,1012.0 mbar,West Nusa Tenggara,25°,1:00 PM,https://www.accuweather.com/en/id/Wanasaba/3468385/current-weather/3468385,3 Moderate,6 km,SW at 6 km/h,6 km/h
3468875,Turida,3444 m,90%,Thunderstorm,25°,91%,1012.0 mbar,West Nusa Tenggara,26°,1:00 PM,https://www.accuweather.com/en/id/Turida/3468875/current-weather/3468875,4 Moderate,5 km,WSW at 8 km/h,12 km/h
3468201,Waja Geseng,0 m,98%,Cloudy,21°,80%,1012.1 mbar,West Nusa Tenggara,25°,1:00 PM,https://www.accuweather.com/en/id/Waja-Geseng/3468201/current-weather/3468201,3 Moderate,5 km,NNW at 12 km/h,19 km/h
206184,Ujuang Gadiang,5883 m,85%,Mostly cloudy,23°,64%,1012.9 mbar,West Sumatra,30°,12:00 PM,https://www.accuweather.com/en/id/Ujuang-Gadiang/206184/current-weather/206184,5 Moderate,11 km,SSW at 8 km/h,10 km/h
3431366,Tanjung Harapan,5395 m,89%,Mostly cloudy,20°,68%,1012.8 mbar,West Sumatra,26°,12:00 PM,https://www.accuweather.com/en/id/Tanjung-Harapan/3431366/current-weather/3431366,5 Moderate,11 km,NE at 16 km/h,20 km/h
3431428,Lubuk Linggau Utara I,5395 m,92%,Cloudy,20°,59%,1012.6 mbar,South Sumatra,29°,12:00 PM,https://www.accuweather.com/en/id/Lubuk-Linggau-Utara-I/3431428/current-weather/3431428,5 Moderate,16 km,ENE at 8 km/h,10 km/h
3476643,Teluk Tiram,1981 m,100%,Thunderstorm,25°,75%,1010.6 mbar,South Kalimantan,30°,1:00 PM,https://www.accuweather.com/en/id/Teluk-Tiram/3476643/current-weather/3476643,2 Low,3 km,S at 7 km/h,9 km/h
3450030,Tiban Lama,5852 m,35%,Partly sunny,24°,74%,1013.0 mbar,Riau Islands,29°,12:00 PM,https://www.accuweather.com/en/id/Tiban-Lama/3450030/current-weather/3450030,10 Very High,16 km,NNW at 15 km/h,18 km/h
3439287,Surantih,5395 m,75%,Hazy sunshine,21°,60%,1012.7 mbar,West Sumatra,29°,12:00 PM,https://www.accuweather.com/en/id/Surantih/3439287/current-weather/3439287,6 High,11 km,WSW at 11 km/h,14 km/h
205754,Watan Soppeng,3597 m,98%,Cloudy,26°,86%,1010.7 mbar,South Sulawesi,28°,1:00 PM,https://www.accuweather.com/en/id/Watan-Soppeng/205754/current-weather/205754,4 Moderate,8 km,S at 13 km/h,18 km/h
3431635,Wara Utara,7559 m,99%,Cloudy,22°,66%,1011.0 mbar,South Sulawesi,30°,1:00 PM,https://www.accuweather.com/en/id/Wara-Utara/3431635/current-weather/3431635,5 Moderate,6 km,NE at 8 km/h,10 km/h
3431426,Wara Timur,7559 m,99%,Cloudy,22°,66%,1011.0 mbar,South Sulawesi,30°,1:00 PM,https://www.accuweather.com/en/id/Wara-Timur/3431426/current-weather/3431426,5 Moderate,6 km,NE at 8 km/h,10 km/h
1967675,Tembung,5852 m,35%,Partly sunny,23°,65%,1013.0 mbar,North Sumatra,30°,12:00 PM,https://www.accuweather.com/en/id/Tembung/1967675/current-weather/1967675,9 Very High,16 km,WNW at 11 km/h,11 km/h
205755,Wotu,5425 m,97%,Cloudy,25°,68%,1011.0 mbar,South Sulawesi,32°,1:00 PM,https://www.accuweather.com/en/id/Wotu/205755/current-weather/205755,4 Moderate,8 km,S at 10 km/h,13 km/h
3439032,Terjun,5852 m,35%,Partly sunny,23°,65%,1013.0 mbar,North Sumatra,30°,12:00 PM,https://www.accuweather.com/en/id/Terjun/3439032/current-weather/3439032,9 Very High,16 km,WNW at 11 km/h,11 km/h
3478709,Winangun I,9266 m,35%,Partly sunny,23°,62%,1011.0 mbar,North Sulawesi,31°,1:00 PM,https://www.accuweather.com/en/id/Winangun-I/3478709/current-weather/3478709,11 Extreme,16 km,N at 13 km/h,13 km/h
1967680,Titi Papan,5852 m,35%,Partly sunny,23°,65%,1013.0 mbar,North Sumatra,30°,12:00 PM,https://www.accuweather.com/en/id/Titi-Papan/1967680/current-weather/1967680,9 Very High,16 km,WNW at 11 km/h,11 km/h
3478731,Wangurer Barat,9083 m,51%,Clouds and sun,21°,57%,1011.0 mbar,North Sulawesi,31°,1:00 PM,https://www.accuweather.com/en/id/Wangurer-Barat/3478731/current-weather/3478731,11 Extreme,16 km,NE at 16 km/h,22 km/h
1896524,Wenang,9266 m,35%,Partly sunny,23°,62%,1011.0 mbar,North Sulawesi,31°,1:00 PM,https://www.accuweather.com/en/id/Wenang/1896524/current-weather/1896524,11 Extreme,16 km,N at 13 km/h,13 km/h
1983119,Wanea,9266 m,35%,Partly sunny,23°,62%,1011.0 mbar,North Sulawesi,31°,1:00 PM,https://www.accuweather.com/en/id/Wanea/1983119/current-weather/1983119,11 Extreme,16 km,N at 13 km/h,13 km/h
1915790,Tuminting,9266 m,35%,Partly sunny,23°,62%,1011.0 mbar,North Sulawesi,31°,1:00 PM,https://www.accuweather.com/en/id/Tuminting/1915790/current-weather/1915790,11 Extreme,16 km,N at 13 km/h,13 km/h
206055,Tondano,5974 m,58%,Clouds and sun,21°,74%,1011.2 mbar,North Sulawesi,26°,1:00 PM,https://www.accuweather.com/en/id/Tondano/206055/current-weather/206055,9 Very High,11 km,N at 16 km/h,25 km/h
3431296,Tomohon Selatan,5974 m,58%,Clouds and sun,21°,74%,1011.2 mbar,North Sulawesi,26°,1:00 PM,https://www.accuweather.com/en/id/Tomohon-Selatan/3431296/current-weather/3431296,9 Very High,11 km,N at 16 km/h,25 km/h
206085,Tomohon,8992 m,56%,Clouds and sun,23°,72%,1011.0 mbar,North Sulawesi,29°,1:00 PM,https://www.accuweather.com/en/id/Tomohon/206085/current-weather/206085,11 Extreme,11 km,NNE at 15 km/h,22 km/h
1983102,Tingkulu,9266 m,35%,Partly sunny,23°,62%,1011.0 mbar,North Sulawesi,31°,1:00 PM,https://www.accuweather.com/en/id/Tingkulu/1983102/current-weather/1983102,11 Extreme,16 km,N at 13 km/h,13 km/h
3431291,Tomohon Utara,5974 m,58%,Clouds and sun,21°,74%,1011.2 mbar,North Sulawesi,26°,1:00 PM,https://www.accuweather.com/en/id/Tomohon-Utara/3431291/current-weather/3431291,9 Very High,11 km,N at 16 km/h,25 km/h
3431294,Tomohon Tengah,5974 m,58%,Clouds and sun,21°,74%,1011.2 mbar,North Sulawesi,26°,1:00 PM,https://www.accuweather.com/en/id/Tomohon-Tengah/3431294/current-weather/3431294,9 Very High,11 km,N at 16 km/h,25 km/h
3431293,Tomohon Timur,5974 m,58%,Clouds and sun,21°,74%,1011.2 mbar,North Sulawesi,26°,1:00 PM,https://www.accuweather.com/en/id/Tomohon-Timur/3431293/current-weather/3431293,9 Very High,11 km,N at 16 km/h,25 km/h
1983118,Teling Atas,9266 m,35%,Partly sunny,23°,62%,1011.0 mbar,North Sulawesi,31°,1:00 PM,https://www.accuweather.com/en/id/Teling-Atas/1983118/current-weather/1983118,11 Extreme,16 km,N at 13 km/h,13 km/h
677288,Tateli,9266 m,35%,Partly sunny,23°,62%,1011.0 mbar,North Sulawesi,31°,1:00 PM,https://www.accuweather.com/en/id/Tateli/677288/current-weather/677288,11 Extreme,16 km,N at 13 km/h,13 km/h
