area_id,areaname,ceiling,cloud_cover,condition,dew_point,humidity,pressure,province,temperature,timestamp,url,uv_index,visibility,wind,wind_gust
3431746,Wua-Wua,7102 m,56%,Clouds and sun,25°,78%,1007.20 mbar,Southeast Sulawesi,29°,1:00 PM,https://www.accuweather.com/en/id/Wua-Wua/3431746/current-weather/3431746,10 Very High,10 km,S at 0 km/h,2 km/h
3483117,Wowawanggu,7102 m,56%,Clouds and sun,25°,78%,1007.20 mbar,Southeast Sulawesi,29°,1:00 PM,https://www.accuweather.com/en/id/Wowawanggu/3483117/current-weather/3483117,10 Very High,10 km,S at 0 km/h,2 km/h
3431486,Wolio,3810 m,84%,Mostly cloudy,25°,73%,1007.10 mbar,Southeast Sulawesi,30°,1:00 PM,https://www.accuweather.com/en/id/Wolio/3431486/current-weather/3431486,5 Moderate,8 km,WNW at 5 km/h,6 km/h
206184,Ujuang Gadiang,5852 m,92%,Cloudy,22°,59%,1009.20 mbar,West Sumatra,31°,12:00 PM,https://www.accuweather.com/en/id/Ujuang-Gadiang/206184/current-weather/206184,4 Moderate,11 km,W at 4 km/h,6 km/h
3486025,Wosi,549 m,92%,Cloudy,24°,75%,1008.00 mbar,West Papua,29°,2:00 PM,https://www.accuweather.com/en/id/Wosi/3486025/current-weather/3486025,2 Low,8 km,ESE at 9 km/h,13 km/h
676313,Wartutin,5395 m,87%,A shower,25°,71%,1007.50 mbar,West Papua,30°,2:00 PM,https://www.accuweather.com/en/id/Wartutin/676313/current-weather/676313,4 Moderate,8 km,W at 10 km/h,12 km/h
3486063,Warsuami,0 m,93%,Thunderstorm,22°,84%,1007.90 mbar,West Papua,25°,2:00 PM,https://www.accuweather.com/en/id/Warsuami/3486063/current-weather/3486063,2 Low,8 km,NE at 4 km/h,5 km/h
3486419,Warsamdim,2652 m,91%,Cloudy,23°,71%,1007.80 mbar,West Papua,29°,2:00 PM,https://www.accuweather.com/en/id/Warsamdim/3486419/current-weather/3486419,3 Moderate,8 km,ENE at 8 km/h,10 km/h
3476654,Teluk Dalam,5883 m,78%,Mostly cloudy,24°,70%,1008.00 mbar,South Kalimantan,31°,1:00 PM,https://www.accuweather.com/en/id/Teluk-Dalam/3476654/current-weather/3476654,6 High,10 km,NNW at 5 km/h,6 km/h
3476643,Teluk Tiram,5883 m,78%,Mostly cloudy,24°,70%,1008.00 mbar,South Kalimantan,31°,1:00 PM,https://www.accuweather.com/en/id/Teluk-Tiram/3476643/current-weather/3476643,6 High,10 km,NNW at 5 km/h,6 km/h
1967680,Titi Papan,0 m,35%,Partly sunny,24°,69%,1010.00 mbar,North Sumatra,30°,12:00 PM,https://www.accuweather.com/en/id/Titi-Papan/1967680/current-weather/1967680,4 Moderate,16 km,WNW at 17 km/h,17 km/h
3439032,Terjun,0 m,35%,Partly sunny,24°,69%,1010.00 mbar,North Sumatra,30°,12:00 PM,https://www.accuweather.com/en/id/Terjun/3439032/current-weather/3439032,4 Moderate,16 km,WNW at 17 km/h,17 km/h
1967675,Tembung,0 m,35%,Partly sunny,24°,69%,1010.00 mbar,North Sumatra,30°,12:00 PM,https://www.accuweather.com/en/id/Tembung/1967675/current-weather/1967675,4 Moderate,16 km,WNW at 17 km/h,17 km/h
3431247,Tarakan Utara,3840 m,83%,Mostly cloudy,25°,78%,1009.50 mbar,North Kalimantan,29°,1:00 PM,https://www.accuweather.com/en/id/Tarakan-Utara/3431247/current-weather/3431247,4 Moderate,10 km,WNW at 12 km/h,15 km/h
206333,Teluk Nibung,366 m,98%,Cloudy,23°,68%,1010.50 mbar,North Sumatra,30°,12:00 PM,https://www.accuweather.com/en/id/Teluk-Nibung/206333/current-weather/206333,2 Low,10 km,WNW at 8 km/h,11 km/h
675919,Wonreli,7590 m,100%,Cloudy,25°,78%,1006.70 mbar,Maluku,29°,2:00 PM,https://www.accuweather.com/en/id/Wonreli/675919/current-weather/675919,4 Moderate,8 km,W at 23 km/h,30 km/h
3486533,Warsnembri,610 m,95%,Cloudy,21°,73%,1008.10 mbar,West Papua,26°,2:00 PM,https://www.accuweather.com/en/id/Warsnembri/3486533/current-weather/3486533,2 Low,8 km,NNW at 4 km/h,6 km/h
3484496,Wamlana,3810 m,96%,Thunderstorm,19°,79%,1007.40 mbar,Maluku,23°,2:00 PM,https://www.accuweather.com/en/id/Wamlana/3484496/current-weather/3484496,2 Low,3 km,W at 14 km/h,19 km/h
3484861,Waiyame,3840 m,35%,Partly sunny,24°,61%,1007.30 mbar,Maluku,32°,2:00 PM,https://www.accuweather.com/en/id/Waiyame/3484861/current-weather/3484861,8 Very High,16 km,NE at 13 km/h,15 km/h
3484597,Waimital,3810 m,99%,Cloudy,24°,71%,1007.30 mbar,Maluku,30°,2:00 PM,https://www.accuweather.com/en/id/Waimital/3484597/current-weather/3484597,3 Moderate,10 km,NNW at 15 km/h,19 km/h
204854,Wahai,0 m,97%,Cloudy,25°,83%,1007.20 mbar,Maluku,28°,2:00 PM,https://www.accuweather.com/en/id/Wahai/204854/current-weather/204854,2 Low,8 km,N at 14 km/h,17 km/h
