area_id,areaname,ceiling,cloud_cover,condition,dew_point,humidity,pressure,province,temperature,timestamp,url,uv_index,visibility,wind,wind_gust
3471978,Wajo Hulu,0 m,91%,Cloudy,25°,82%,1011.70 mbar,West Kalimantan,28°,12:00 PM,https://www.accuweather.com/en/id/Wajo-Hulu/3471978/current-weather/3471978,3 Moderate,11 km,S at 8 km/h,10 km/h
3473317,Teluk Kapuas,0 m,91%,Cloudy,25°,82%,1011.70 mbar,West Kalimantan,28°,12:00 PM,https://www.accuweather.com/en/id/Teluk-Kapuas/3473317/current-weather/3473317,3 Moderate,11 km,S at 8 km/h,10 km/h
3468385,Wanasaba,0 m,85%,Thunderstorm,25°,100%,1009.00 mbar,West Nusa Tenggara,25°,1:00 PM,https://www.accuweather.com/en/id/Wanasaba/3468385/current-weather/3468385,3 Moderate,2 km,S at 20 km/h,20 km/h
3486025,Wosi,5852 m,67%,Clouds and sun,24°,63%,1008.60 mbar,West Papua,32°,2:00 PM,https://www.accuweather.com/en/id/Wosi/3486025/current-weather/3486025,7 High,8 km,NNE at 14 km/h,17 km/h
3472002,Terusan,7102 m,77%,Mostly cloudy,24°,71%,1011.50 mbar,West Kalimantan,29°,12:00 PM,https://www.accuweather.com/en/id/Terusan/3472002/current-weather/3472002,6 High,16 km,N at 11 km/h,15 km/h
3468238,Sintung,0 m,85%,Thunderstorm,25°,100%,1009.00 mbar,West Nusa Tenggara,25°,1:00 PM,https://www.accuweather.com/en/id/Sintung/3468238/current-weather/3468238,3 Moderate,2 km,S at 20 km/h,20 km/h
3453742,Wanasari,0 m,97%,Cloudy,24°,68%,1011.00 mbar,West Java,30°,12:00 PM,https://www.accuweather.com/en/id/Wanasari/3453742/current-weather/3453742,2 Low,6 km,WNW at 15 km/h,20 km/h
3431746,Wua-Wua,9327 m,92%,Cloudy,24°,67%,1008.60 mbar,Southeast Sulawesi,30°,1:00 PM,https://www.accuweather.com/en/id/Wua-Wua/3431746/current-weather/3431746,6 High,10 km,NNW at 10 km/h,12 km/h
3431635,Wara Utara,5852 m,96%,Cloudy,23°,60%,1009.80 mbar,South Sulawesi,32°,1:00 PM,https://www.accuweather.com/en/id/Wara-Utara/3431635/current-weather/3431635,5 Moderate,10 km,NE at 8 km/h,10 km/h
205755,Wotu,5852 m,99%,Cloudy,25°,71%,1009.90 mbar,South Sulawesi,31°,1:00 PM,https://www.accuweather.com/en/id/Wotu/205755/current-weather/205755,4 Moderate,10 km,SW at 9 km/h,11 km/h
206301,Medan Belawan,5425 m,76%,Mostly cloudy,24°,74%,1012.00 mbar,North Sumatra,29°,12:00 PM,https://www.accuweather.com/en/id/Medan-Belawan/206301/current-weather/206301,5 Moderate,16 km,NW at 13 km/h,13 km/h
3431426,Wara Timur,5852 m,96%,Cloudy,23°,60%,1009.80 mbar,South Sulawesi,32°,1:00 PM,https://www.accuweather.com/en/id/Wara-Timur/3431426/current-weather/3431426,5 Moderate,10 km,NE at 8 km/h,10 km/h
3431427,Wara Selatan,5852 m,96%,Cloudy,23°,60%,1009.80 mbar,South Sulawesi,32°,1:00 PM,https://www.accuweather.com/en/id/Wara-Selatan/3431427/current-weather/3431427,5 Moderate,10 km,NE at 8 km/h,10 km/h
205754,Watan Soppeng,5944 m,89%,Mostly cloudy,23°,51%,1009.10 mbar,South Sulawesi,34°,1:00 PM,https://www.accuweather.com/en/id/Watan-Soppeng/205754/current-weather/205754,6 High,16 km,NW at 11 km/h,15 km/h
3431413,Telluwanua,9053 m,97%,Cloudy,22°,57%,1010.10 mbar,South Sulawesi,31°,1:00 PM,https://www.accuweather.com/en/id/Telluwanua/3431413/current-weather/3431413,6 High,6 km,E at 8 km/h,10 km/h
3478709,Winangun I,0 m,35%,Partly sunny,24°,62%,1010.00 mbar,North Sulawesi,32°,1:00 PM,https://www.accuweather.com/en/id/Winangun-I/3478709/current-weather/3478709,6 High,16 km,NW at 11 km/h,11 km/h
1896524,Wenang,0 m,35%,Partly sunny,24°,62%,1010.00 mbar,North Sulawesi,32°,1:00 PM,https://www.accuweather.com/en/id/Wenang/1896524/current-weather/1896524,6 High,16 km,NW at 11 km/h,11 km/h
3478731,Wangurer Barat,0 m,74%,Clouds and sun,24°,66%,1010.00 mbar,North Sulawesi,31°,1:00 PM,https://www.accuweather.com/en/id/Wangurer-Barat/3478731/current-weather/3478731,4 Moderate,11 km,N at 12 km/h,16 km/h
206055,Tondano,5913 m,83%,A shower,24°,78%,1010.20 mbar,North Sulawesi,28°,1:00 PM,https://www.accuweather.com/en/id/Tondano/206055/current-weather/206055,5 Moderate,11 km,N at 9 km/h,13 km/h
1983119,Wanea,0 m,35%,Partly sunny,24°,62%,1010.00 mbar,North Sulawesi,32°,1:00 PM,https://www.accuweather.com/en/id/Wanea/1983119/current-weather/1983119,6 High,16 km,NW at 11 km/h,11 km/h
3485480,Aru Irian,5852 m,76%,Mostly cloudy,24°,69%,1009.50 mbar,North Maluku,30°,2:00 PM,https://www.accuweather.com/en/id/Aru-Irian/3485480/current-weather/3485480,6 High,11 km,SSW at 8 km/h,10 km/h
685785,Gosoma,5364 m,32%,Partly sunny,24°,69%,1009.50 mbar,North Maluku,30°,2:00 PM,https://www.accuweather.com/en/id/Gosoma/685785/current-weather/685785,9 Very High,11 km,E at 9 km/h,12 km/h
1915790,Tuminting,0 m,35%,Partly sunny,24°,62%,1010.00 mbar,North Sulawesi,32°,1:00 PM,https://www.accuweather.com/en/id/Tuminting/1915790/current-weather/1915790,6 High,16 km,NW at 11 km/h,11 km/h
204993,Tobelo,5364 m,32%,Partly sunny,24°,69%,1009.50 mbar,North Maluku,30°,2:00 PM,https://www.accuweather.com/en/id/Tobelo/204993/current-weather/204993,9 Very High,11 km,E at 9 km/h,12 km/h
3431319,Tidore Timur,5852 m,33%,Partly sunny,26°,70%,1009.50 mbar,North Maluku,32°,2:00 PM,https://www.accuweather.com/en/id/Tidore-Timur/3431319/current-weather/3431319,9 Very High,11 km,NE at 10 km/h,12 km/h
