aqi,aqi_concentration,city_id,city_name,city_type,condition,country,exercise_desc,exercise_value,humidity,latitude,longitude,main_pollutant,pressure,province,temperature,timezone,url,wind_direction,wind_speed,windows_desc,windows_value
42,10.1,5bc8216941fdcdf1939d9826,Kotabesi,city,Rain,Indonesia,Enjoy outdoor activities,green,97,-2.3715,113.0025,pm25,1008,Central Kalimantan,23,Asia/Pontianak,https://website-api.airvisual.com/v1/cities/5bc8216941fdcdf1939d9826?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,217,4.4,"Open your windows to bring clean, fresh air indoors",green
74,23.1,5bc8216841fdcdf1939d9789,Pacitan,city,Rain,Indonesia,Sensitive groups should reduce outdoor exercise,orange,95,-8.19389,111.10333,pm25,1008,East Java,23,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5bc8216841fdcdf1939d9789?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,265,1.8,Close your windows to avoid dirty outdoor air,red
80,26.2,5bc8216841fdcdf1939d977a,Pagerageung,city,Rain,Indonesia,Sensitive groups should reduce outdoor exercise,orange,91,-7.1124,108.1668,pm25,1009,West Java,21,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5bc8216841fdcdf1939d977a?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,272,3.8,Close your windows to avoid dirty outdoor air,red
25,6.1,5bc8216841fdcdf1939d9795,Ngabang,city,Rain,Indonesia,Enjoy outdoor activities,green,98,0.38333,109.95,pm25,1009,West Kalimantan,22,Asia/Pontianak,https://website-api.airvisual.com/v1/cities/5bc8216841fdcdf1939d9795?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,343,2.8,"Open your windows to bring clean, fresh air indoors",green
42,10.1,5bc8216d41fdcdf1939d9b28,Sibreh,city,Rain,Indonesia,Enjoy outdoor activities,green,91,5.51863,95.37336,pm25,1010,Aceh,22,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5bc8216d41fdcdf1939d9b28?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,109,2.6,"Open your windows to bring clean, fresh air indoors",green
42,10.1,5bc8216d41fdcdf1939d9b29,Mata Ie,city,Rain,Indonesia,Enjoy outdoor activities,green,91,5.5278,95.33473,pm25,1010,Aceh,22,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5bc8216d41fdcdf1939d9b29?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,109,2.6,"Open your windows to bring clean, fresh air indoors",green
46,11.1,5bc8216d41fdcdf1939d9b3a,Alue Glumpang,city,Broken clouds,Indonesia,Enjoy outdoor activities,green,94,5.07942,96.76486,pm25,1011,Aceh,19,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5bc8216d41fdcdf1939d9b3a?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,215,4,"Open your windows to bring clean, fresh air indoors",green
34,8.1,5bc8216d41fdcdf1939d9b2e,Kemil,city,Broken clouds,Indonesia,Enjoy outdoor activities,green,92,4.62079,96.75686,pm25,1011,Aceh,14,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5bc8216d41fdcdf1939d9b2e?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,242,4,"Open your windows to bring clean, fresh air indoors",green
42,10.1,5bc8216d41fdcdf1939d9b5a,Ulee Gle,city,Broken clouds,Indonesia,Enjoy outdoor activities,green,96,5.20314,96.3269,pm25,1011,Aceh,18,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5bc8216d41fdcdf1939d9b5a?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,212,2.3,"Open your windows to bring clean, fresh air indoors",green
53,13.1,5bc8216d41fdcdf1939d9ba0,Juai,city,Broken clouds,Indonesia,Sensitive groups should reduce outdoor exercise,orange,93,-2.3044,115.5622,pm25,1008,South Kalimantan,23,Asia/Makassar,https://website-api.airvisual.com/v1/cities/5bc8216d41fdcdf1939d9ba0?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,158,1.2,Close your windows to avoid dirty outdoor air,red
42,10.1,5bc8216d41fdcdf1939d9b5c,Pante Raja,city,Broken clouds,Indonesia,Enjoy outdoor activities,green,98,5.24525,96.14624,pm25,1011,Aceh,18,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5bc8216d41fdcdf1939d9b5c?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,22,3,"Open your windows to bring clean, fresh air indoors",green
46,11.1,5bc8216d41fdcdf1939d9b7b,Matangai,city,Broken clouds,Indonesia,Enjoy outdoor activities,green,94,-2.5825,114.3728,pm25,1008,Central Kalimantan,24,Asia/Pontianak,https://website-api.airvisual.com/v1/cities/5bc8216d41fdcdf1939d9b7b?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,254,3.4,"Open your windows to bring clean, fresh air indoors",green
51,12.1,5bc8216841fdcdf1939d97b1,Muarakomam,city,Rain,Indonesia,Sensitive groups should reduce outdoor exercise,orange,96,-1.6785,115.8129,pm25,1008,East Kalimantan,22,Asia/Makassar,https://website-api.airvisual.com/v1/cities/5bc8216841fdcdf1939d97b1?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,324,1.7,Close your windows to avoid dirty outdoor air,red
34,8.1,5bc8216d41fdcdf1939d9b59,Simpang Teritit,city,Broken clouds,Indonesia,Enjoy outdoor activities,green,92,4.69707,96.8567,pm25,1011,Aceh,14,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5bc8216d41fdcdf1939d9b59?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,242,4,"Open your windows to bring clean, fresh air indoors",green
17,4.1,5bc8216841fdcdf1939d97ba,Munse,city,Rain,Indonesia,Enjoy outdoor activities,green,69,-4.0967,123.2519,pm25,1008,Southeast Sulawesi,29,Asia/Makassar,https://website-api.airvisual.com/v1/cities/5bc8216841fdcdf1939d97ba?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,354,10.3,"Open your windows to bring clean, fresh air indoors",green
91,31.2,5bc8216841fdcdf1939d97e7,Magetan,city,Broken clouds,Indonesia,Sensitive groups should reduce outdoor exercise,orange,91,-7.65667,111.33139,pm25,1008,East Java,24,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5bc8216841fdcdf1939d97e7?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,185,5.7,Close your windows to avoid dirty outdoor air,red
34,8.1,5bc8216841fdcdf1939d97df,Khairiahmandah,city,Broken clouds,Indonesia,Enjoy outdoor activities,green,97,0.02107,103.49757,pm25,1009,Riau,22,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5bc8216841fdcdf1939d97df?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,317,6,"Open your windows to bring clean, fresh air indoors",green
29,7.1,5bc8216d41fdcdf1939d9bb0,Terentang,city,Rain,Indonesia,Enjoy outdoor activities,green,95,-0.38233,109.62098,pm25,1009,West Kalimantan,23,Asia/Pontianak,https://website-api.airvisual.com/v1/cities/5bc8216d41fdcdf1939d9bb0?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,336,6.3,"Open your windows to bring clean, fresh air indoors",green
29,7.1,5bc8216e41fdcdf1939d9bbd,Tubei,city,Broken clouds,Indonesia,Enjoy outdoor activities,green,68,-3.11917,102.2,pm25,1010,Bengkulu,19,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5bc8216e41fdcdf1939d9bbd?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,39,6.2,"Open your windows to bring clean, fresh air indoors",green
29,7.1,5bc8216d41fdcdf1939d9bb9,Cemaga,city,Rain,Indonesia,Enjoy outdoor activities,green,83,3.78333,108.36528,pm25,1010,Riau Islands,26,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5bc8216d41fdcdf1939d9bb9?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,4,24.1,"Open your windows to bring clean, fresh air indoors",green
13,3.1,5bc8216941fdcdf1939d97fb,Limboto,city,Scattered clouds,Indonesia,Enjoy outdoor activities,green,91,0.627,122.9778,pm25,1009,Gorontalo,22,Asia/Makassar,https://website-api.airvisual.com/v1/cities/5bc8216941fdcdf1939d97fb?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,10,6.9,"Open your windows to bring clean, fresh air indoors",green
9,2.1,5bc8216941fdcdf1939d97fc,Likupang,city,Few clouds,Indonesia,Enjoy outdoor activities,green,100,1.6722,125.06104,pm25,1009,North Sulawesi,23,Asia/Makassar,https://website-api.airvisual.com/v1/cities/5bc8216941fdcdf1939d97fc?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,80,3.6,"Open your windows to bring clean, fresh air indoors",green
9,2.1,5bc8216d41fdcdf1939d9bab,Malifud,city,Few clouds,Indonesia,Enjoy outdoor activities,green,77,0.36381,127.42279,pm25,1009,North Maluku,27,Asia/Jayapura,https://website-api.airvisual.com/v1/cities/5bc8216d41fdcdf1939d9bab?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,28,11.3,"Open your windows to bring clean, fresh air indoors",green
117,42.2,5bc8216941fdcdf1939d9801,Lengkong,city,Rain,Indonesia,Everyone should reduce outdoor exercise,red,78,-7.1315,106.6926,pm25,1009,West Java,25,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5bc8216941fdcdf1939d9801?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,303,9.9,Close your windows to avoid dirty outdoor air,red
51,12.1,5bc8216d41fdcdf1939d9b33,Keudee Aron,city,Broken clouds,Indonesia,Sensitive groups should reduce outdoor exercise,orange,74,4.2145,96.17878,pm25,1010,Aceh,27,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5bc8216d41fdcdf1939d9b33?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,17,11,Close your windows to avoid dirty outdoor air,red
17,4.1,5bc8216941fdcdf1939d9805,Lelogama,city,Scattered clouds,Indonesia,Enjoy outdoor activities,green,94,-9.7114,123.954,pm25,1008,East Nusa Tenggara,26,Asia/Makassar,https://website-api.airvisual.com/v1/cities/5bc8216941fdcdf1939d9805?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,210,5.4,"Open your windows to bring clean, fresh air indoors",green
17,4.1,5bc8216841fdcdf1939d979f,Muraloka,city,Broken clouds,Indonesia,Enjoy outdoor activities,green,100,-8.77213,116.87932,pm25,1009,West Nusa Tenggara,26,Asia/Makassar,https://website-api.airvisual.com/v1/cities/5bc8216841fdcdf1939d979f?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,290,9.4,"Open your windows to bring clean, fresh air indoors",green
13,3.1,5bc8216841fdcdf1939d97a2,Mulia,city,Broken clouds,Indonesia,Enjoy outdoor activities,green,88,-3.71472,137.98528,pm25,1012,Papua,13,Asia/Jayapura,https://website-api.airvisual.com/v1/cities/5bc8216841fdcdf1939d97a2?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,183,8.5,"Open your windows to bring clean, fresh air indoors",green
