aqi,aqi_concentration,city_id,city_name,city_type,condition,country,exercise_desc,exercise_value,humidity,latitude,longitude,main_pollutant,pressure,province,temperature,timezone,url,wind_direction,wind_speed,windows_desc,windows_value
54,13.4,sczgAScnX3y9eDMxC,Pontianak,city,Scattered clouds,Indonesia,Sensitive groups should reduce outdoor exercise,orange,83,-0.04046,109.344387,pm25,1012,West Kalimantan,28,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/sczgAScnX3y9eDMxC?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,68,4.1,Close your windows to avoid dirty outdoor air,red
21,5.1,mAzACTP8KrzXdf3hG,Samarinda,city,Few clouds,Indonesia,Enjoy outdoor activities,green,51,-0.4948232,117.1436154,pm25,1011,East Kalimantan,31,Asia/Makassar,https://website-api.airvisual.com/v1/cities/mAzACTP8KrzXdf3hG?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,26,10.9,"Open your windows to bring clean, fresh air indoors",green
17,4,5bc821a941fdcdf1939dc740,Renon - Ritten,city,Clear sky,Italy,Enjoy outdoor activities,green,13,46.54152,11.45728,pm25,1027,Trentino-Alto Adige,0,Europe/Rome,https://website-api.airvisual.com/v1/cities/5bc821a941fdcdf1939dc740?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,120,11.2,"Open your windows to bring clean, fresh air indoors",green
56,14.5,5bc8216941fdcdf1939d9878,Jimbaran,city,Few clouds,Indonesia,Sensitive groups should reduce outdoor exercise,orange,74,-8.79093,115.16006,pm25,1011,Bali,31,Asia/Makassar,https://website-api.airvisual.com/v1/cities/5bc8216941fdcdf1939d9878?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,240,9.4,Close your windows to avoid dirty outdoor air,red
42,10.2,JdnZEae4wBh7yfoJS,Palembang,city,Clear sky,Indonesia,Enjoy outdoor activities,green,65,-2.9760735,104.7754307,pm25,1012,South Sumatra,30,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/JdnZEae4wBh7yfoJS?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,308,8.1,"Open your windows to bring clean, fresh air indoors",green
21,5.1,dyBBXKJTgDmaCBYix,Banjarbaru,city,Clear sky,Indonesia,Enjoy outdoor activities,green,58,-3.4572422,114.8103181,pm25,1011,South Kalimantan,31,Asia/Makassar,https://website-api.airvisual.com/v1/cities/dyBBXKJTgDmaCBYix?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,6,6.9,"Open your windows to bring clean, fresh air indoors",green
37,9,Q9HEHxJSRpG9DAzQm,Palangkaraya,city,Clear sky,Indonesia,Enjoy outdoor activities,green,50,-2.2161048,113.913977,pm25,1011,Central Kalimantan,32,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/Q9HEHxJSRpG9DAzQm?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,50,8.4,"Open your windows to bring clean, fresh air indoors",green
15,3.8,cpTRGbKR4aTxGEb5N,Jambi,city,Broken clouds,Indonesia,Enjoy outdoor activities,green,68,-1.6,103.61667,pm25,1012,Jambi,29,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/cpTRGbKR4aTxGEb5N?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,321,6.8,"Open your windows to bring clean, fresh air indoors",green
69,20.7,ykP9abDfjCdmgRiTu,Pekanbaru,city,Few clouds,Indonesia,Sensitive groups should reduce outdoor exercise,orange,64,0.5070677,101.4477793,pm25,1013,Riau,29,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/ykP9abDfjCdmgRiTu?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,18,6,Close your windows to avoid dirty outdoor air,red
57,15,oTKPAxe9wWuD3j7Hq,Batam,city,Broken clouds,Indonesia,Sensitive groups should reduce outdoor exercise,orange,70,1.1300779,104.05292069999996,pm25,1014,Riau Islands,29,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/oTKPAxe9wWuD3j7Hq?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,50,18.4,Close your windows to avoid dirty outdoor air,red
77,24.7,LgZ3pFZAZmmSH53Z8,Medan,city,Few clouds,Indonesia,Sensitive groups should reduce outdoor exercise,orange,79,3.5951956,98.6722227,pm25,1013,North Sumatra,28,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/LgZ3pFZAZmmSH53Z8?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,260,5.4,Close your windows to avoid dirty outdoor air,red
25,6.1,PLw5LTjZp3y5wXicB,Indrapuri,city,Broken clouds,Indonesia,Enjoy outdoor activities,green,63,5.404765,95.461666,pm25,1012,Aceh,28,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/PLw5LTjZp3y5wXicB?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,104,11.7,"Open your windows to bring clean, fresh air indoors",green
74,23.1,LembLiKtxzRZbDYP4,Jakarta,city,Rain,Indonesia,Sensitive groups should reduce outdoor exercise,orange,83,-6.236704,106.79324,pm25,1012,Jakarta,28,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/LembLiKtxzRZbDYP4?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,280,5.4,Close your windows to avoid dirty outdoor air,red
17,4.1,LFTfzqv2cundknLFr,Muara Teweh,city,Clear sky,Indonesia,Enjoy outdoor activities,green,54,-0.9403,114.8939,pm25,1011,Central Kalimantan,30,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/LFTfzqv2cundknLFr?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,53,9.9,"Open your windows to bring clean, fresh air indoors",green
21,5.1,oxaWHjY4Rkm9Q7cR6,Buntok,city,Clear sky,Indonesia,Enjoy outdoor activities,green,58,-3.55,114.767,pm25,1011,Central Kalimantan,31,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/oxaWHjY4Rkm9Q7cR6?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,6,6.9,"Open your windows to bring clean, fresh air indoors",green
17,4.1,jHeG5pcnFSAfT4vf5,Pangkalan Bun,city,Rain,Indonesia,Enjoy outdoor activities,green,60,-2.688962,111.622398,pm25,1011,Central Kalimantan,32,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/jHeG5pcnFSAfT4vf5?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,352,0.9,"Open your windows to bring clean, fresh air indoors",green
