aqi,aqi_concentration,city_id,city_name,city_type,condition,country,exercise_desc,exercise_value,humidity,latitude,longitude,main_pollutant,pressure,province,temperature,timezone,url,wind_direction,wind_speed,windows_desc,windows_value
41,10,sczgAScnX3y9eDMxC,Pontianak,city,Scattered clouds,Indonesia,Enjoy outdoor activities,green,74,-0.04046,109.344387,pm25,1010,West Kalimantan,30,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/sczgAScnX3y9eDMxC?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,10,16.6,"Open your windows to bring clean, fresh air indoors",green
21,5.1,mAzACTP8KrzXdf3hG,Samarinda,city,Rain,Indonesia,Enjoy outdoor activities,green,74,-0.4948232,117.1436154,pm25,1009,East Kalimantan,29,Asia/Makassar,https://website-api.airvisual.com/v1/cities/mAzACTP8KrzXdf3hG?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,56,2.5,"Open your windows to bring clean, fresh air indoors",green
50,12.1,5bc8216941fdcdf1939d9878,Jimbaran,city,Few clouds,Indonesia,Enjoy outdoor activities,green,74,-8.79093,115.16006,pm25,1009,Bali,31,Asia/Makassar,https://website-api.airvisual.com/v1/cities/5bc8216941fdcdf1939d9878?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,120,5.4,"Open your windows to bring clean, fresh air indoors",green
33,8,5bc821a941fdcdf1939dc740,Renon - Ritten,city,Clear sky,Italy,Enjoy outdoor activities,green,49,46.54152,11.45728,pm25,1016,Trentino-Alto Adige,-3,Europe/Rome,https://website-api.airvisual.com/v1/cities/5bc821a941fdcdf1939dc740?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,300,5.4,"Open your windows to bring clean, fresh air indoors",green
17,4,Q9HEHxJSRpG9DAzQm,Palangkaraya,city,Broken clouds,Indonesia,Enjoy outdoor activities,green,54,-2.2161048,113.913977,pm25,1009,Central Kalimantan,33,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/Q9HEHxJSRpG9DAzQm?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,231,3,"Open your windows to bring clean, fresh air indoors",green
80,26.1,JdnZEae4wBh7yfoJS,Palembang,city,Broken clouds,Indonesia,Sensitive groups should reduce outdoor exercise,orange,88,-2.9760735,104.7754307,pm25,1011,South Sumatra,27,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/JdnZEae4wBh7yfoJS?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,290,11.2,Close your windows to avoid dirty outdoor air,red
29,7,oTKPAxe9wWuD3j7Hq,Batam,city,Broken clouds,Indonesia,Enjoy outdoor activities,green,70,1.1300779,104.05292069999996,pm25,1012,Riau Islands,28,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/oTKPAxe9wWuD3j7Hq?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,20,13,"Open your windows to bring clean, fresh air indoors",green
29,7.1,dyBBXKJTgDmaCBYix,Banjarbaru,city,Scattered clouds,Indonesia,Enjoy outdoor activities,green,70,-3.4572422,114.8103181,pm25,1009,South Kalimantan,31,Asia/Makassar,https://website-api.airvisual.com/v1/cities/dyBBXKJTgDmaCBYix?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,230,9.4,"Open your windows to bring clean, fresh air indoors",green
94,32.5,LgZ3pFZAZmmSH53Z8,Medan,city,Few clouds,Indonesia,Sensitive groups should reduce outdoor exercise,orange,79,3.5951956,98.6722227,pm25,1011,North Sumatra,29,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/LgZ3pFZAZmmSH53Z8?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,280,9.4,Close your windows to avoid dirty outdoor air,red
45,11,LembLiKtxzRZbDYP4,Jakarta,city,Scattered clouds,Indonesia,Enjoy outdoor activities,green,74,-6.236704,106.79324,pm25,1010,Jakarta,29,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/LembLiKtxzRZbDYP4?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,340,13,"Open your windows to bring clean, fresh air indoors",green
41,10,cpTRGbKR4aTxGEb5N,Jambi,city,Broken clouds,Indonesia,Enjoy outdoor activities,green,93,-1.6,103.61667,pm25,1012,Jambi,24,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/cpTRGbKR4aTxGEb5N?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,302,4.6,"Open your windows to bring clean, fresh air indoors",green
29,7.1,oxaWHjY4Rkm9Q7cR6,Buntok,city,Scattered clouds,Indonesia,Enjoy outdoor activities,green,70,-3.55,114.767,pm25,1009,Central Kalimantan,31,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/oxaWHjY4Rkm9Q7cR6?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,230,9.4,"Open your windows to bring clean, fresh air indoors",green
25,6.1,jHeG5pcnFSAfT4vf5,Pangkalan Bun,city,Broken clouds,Indonesia,Enjoy outdoor activities,green,57,-2.688962,111.622398,pm25,1009,Central Kalimantan,31,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/jHeG5pcnFSAfT4vf5?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,284,6.2,"Open your windows to bring clean, fresh air indoors",green
20,21.8,PLw5LTjZp3y5wXicB,Indrapuri,city,Broken clouds,Indonesia,Enjoy outdoor activities,green,60,5.404765,95.461666,pm10,1011,Aceh,29,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/PLw5LTjZp3y5wXicB?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,92,11,"Open your windows to bring clean, fresh air indoors",green
25,6.1,5AiH8XmAKbfYHu9JL,Sampit,city,Broken clouds,Indonesia,Enjoy outdoor activities,green,59,-2.5315,112.9496,pm25,1009,Central Kalimantan,32,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5AiH8XmAKbfYHu9JL?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,283,5.4,"Open your windows to bring clean, fresh air indoors",green
64,18.4,7kF5aMzgANZiRRADq,Badung,city,Few clouds,Indonesia,Sensitive groups should reduce outdoor exercise,orange,70,-8.566655,115.213997,pm25,1009,Bali,31,Asia/Makassar,https://website-api.airvisual.com/v1/cities/7kF5aMzgANZiRRADq?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,290,7.6,Close your windows to avoid dirty outdoor air,red
81,26.5,ykP9abDfjCdmgRiTu,Pekanbaru,city,Scattered clouds,Indonesia,Sensitive groups should reduce outdoor exercise,orange,88,0.5070677,101.4477793,pm25,1011,Riau,27,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/ykP9abDfjCdmgRiTu?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,70,11.2,Close your windows to avoid dirty outdoor air,red
69,20.5,GTE3k5JbEnFtipb2u,Ubud,city,Few clouds,Indonesia,Sensitive groups should reduce outdoor exercise,orange,70,-8.505905,115.243533,pm25,1009,Bali,31,Asia/Makassar,https://website-api.airvisual.com/v1/cities/GTE3k5JbEnFtipb2u?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,290,7.6,Close your windows to avoid dirty outdoor air,red
65,18.9,QXbmHFGEstQoPaKTp,Denpasar,city,Few clouds,Indonesia,Sensitive groups should reduce outdoor exercise,orange,70,-8.663225,115.19754,pm25,1009,Bali,31,Asia/Hong_Kong,https://website-api.airvisual.com/v1/cities/QXbmHFGEstQoPaKTp?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,290,7.6,Close your windows to avoid dirty outdoor air,red
17,4.1,LFTfzqv2cundknLFr,Muara Teweh,city,Broken clouds,Indonesia,Enjoy outdoor activities,green,64,-0.9403,114.8939,pm25,1010,Central Kalimantan,31,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/LFTfzqv2cundknLFr?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,294,0.8,"Open your windows to bring clean, fresh air indoors",green
66,19.1,gQJSBqhHpnf52Z7Qb,Buleleng,city,Clear sky,Indonesia,Sensitive groups should reduce outdoor exercise,orange,73,-8.200728,114.851048,pm25,1009,Bali,28,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/gQJSBqhHpnf52Z7Qb?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,38,8.2,Close your windows to avoid dirty outdoor air,red
177,106.3,wGKtyd6zFNzgZTxwD,Bogor,city,Scattered clouds,Indonesia,Avoid outdoor exercise,red,74,-6.597146899999999,106.80603880000001,pm25,1010,West Java,29,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/wGKtyd6zFNzgZTxwD?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,340,13,Close your windows to avoid dirty outdoor air,red
57,15.1,5b7a94b36a15c1ae2d8a98a7,Tomok Bolon,city,Broken clouds,Indonesia,Sensitive groups should reduce outdoor exercise,orange,64,2.6521,98.8608,pm25,1012,North Sumatra,24,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5b7a94b36a15c1ae2d8a98a7?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,78,2.6,Close your windows to avoid dirty outdoor air,red
64,18.1,5b7a94b36a15c1ae2d8a98ab,Tanjungbalai,city,Broken clouds,Indonesia,Sensitive groups should reduce outdoor exercise,orange,70,2.96667,99.8,pm25,1012,North Sumatra,27,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5b7a94b36a15c1ae2d8a98ab?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,258,3,Close your windows to avoid dirty outdoor air,red
68,20.1,5b7a94b36a15c1ae2d8a98a6,Tongging,city,Broken clouds,Indonesia,Sensitive groups should reduce outdoor exercise,orange,71,2.8985,98.5231,pm25,1012,North Sumatra,22,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5b7a94b36a15c1ae2d8a98a6?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,51,5,Close your windows to avoid dirty outdoor air,red
57,15.1,5b7a94b36a15c1ae2d8a98b4,Pangkalan Brandan,city,Few clouds,Indonesia,Sensitive groups should reduce outdoor exercise,orange,70,4.0238,98.2782,pm25,1011,North Sumatra,29,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5b7a94b36a15c1ae2d8a98b4?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,300,11.2,Close your windows to avoid dirty outdoor air,red
70,21.1,5b7a94b36a15c1ae2d8a98a9,Tebingtinggi,city,Few clouds,Indonesia,Sensitive groups should reduce outdoor exercise,orange,79,3.3285,99.1625,pm25,1011,North Sumatra,29,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5b7a94b36a15c1ae2d8a98a9?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,280,9.4,Close your windows to avoid dirty outdoor air,red
53,13.1,5b7a94b36a15c1ae2d8a98af,Rantauprapat,city,Rain,Indonesia,Sensitive groups should reduce outdoor exercise,orange,70,2.1,99.83333,pm25,1012,North Sumatra,29,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5b7a94b36a15c1ae2d8a98af?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,155,4.3,Close your windows to avoid dirty outdoor air,red
57,15.1,5b7a94b36a15c1ae2d8a98b0,Parapat,city,Broken clouds,Indonesia,Sensitive groups should reduce outdoor exercise,orange,64,2.663,98.9349,pm25,1012,North Sumatra,24,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5b7a94b36a15c1ae2d8a98b0?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,78,2.6,Close your windows to avoid dirty outdoor air,red
64,18.1,5b7a94b36a15c1ae2d8a98a8,Teluk Nibung,city,Broken clouds,Indonesia,Sensitive groups should reduce outdoor exercise,orange,70,3.001,99.8164,pm25,1012,North Sumatra,27,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5b7a94b36a15c1ae2d8a98a8?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,258,3,Close your windows to avoid dirty outdoor air,red
68,20.1,5b7a94b36a15c1ae2d8a98b3,Pematangsiantar,city,Broken clouds,Indonesia,Sensitive groups should reduce outdoor exercise,orange,59,2.9595,99.0687,pm25,1012,North Sumatra,27,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5b7a94b36a15c1ae2d8a98b3?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,32,5.4,Close your windows to avoid dirty outdoor air,red
59,16.1,5b7a94b36a15c1ae2d8a98aa,Tanjungtiram,city,Few clouds,Indonesia,Sensitive groups should reduce outdoor exercise,orange,70,4.0613,98.3699,pm25,1011,North Sumatra,29,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5b7a94b36a15c1ae2d8a98aa?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,300,11.2,Close your windows to avoid dirty outdoor air,red
70,21.1,5b7a94b36a15c1ae2d8a98ac,Sunggal,city,Few clouds,Indonesia,Sensitive groups should reduce outdoor exercise,orange,79,3.5765,98.6151,pm25,1011,North Sumatra,29,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5b7a94b36a15c1ae2d8a98ac?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,280,9.4,Close your windows to avoid dirty outdoor air,red
62,17.1,5b7a94b36a15c1ae2d8a98ad,Stabat,city,Few clouds,Indonesia,Sensitive groups should reduce outdoor exercise,orange,79,3.73335,98.45025,pm25,1011,North Sumatra,29,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5b7a94b36a15c1ae2d8a98ad?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,280,9.4,Close your windows to avoid dirty outdoor air,red
