aqi,aqi_concentration,city_id,city_name,city_type,condition,country,exercise_desc,exercise_value,humidity,latitude,longitude,main_pollutant,pressure,province,temperature,timezone,url,wind_direction,wind_speed,windows_desc,windows_value
73,22.7,sczgAScnX3y9eDMxC,Pontianak,city,Rain,Indonesia,Sensitive groups should reduce outdoor exercise,orange,90,-0.04046,109.344387,pm25,1007,West Kalimantan,27,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/sczgAScnX3y9eDMxC?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,274,5.7,Close your windows to avoid dirty outdoor air,red
17,4,5bc821a941fdcdf1939dc740,Renon - Ritten,city,Clear sky,Italy,Enjoy outdoor activities,green,92,46.54152,11.45728,pm25,1036,Trentino-Alto Adige,-3,Europe/Rome,https://website-api.airvisual.com/v1/cities/5bc821a941fdcdf1939dc740?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,0,3.6,"Open your windows to bring clean, fresh air indoors",green
54,13.5,5bc8216941fdcdf1939d9878,Jimbaran,city,Few clouds,Indonesia,Sensitive groups should reduce outdoor exercise,orange,59,-8.79093,115.16006,pm25,1007,Bali,34,Asia/Makassar,https://website-api.airvisual.com/v1/cities/5bc8216941fdcdf1939d9878?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,170,9.4,Close your windows to avoid dirty outdoor air,red
41,10,oTKPAxe9wWuD3j7Hq,Batam,city,Few clouds,Indonesia,Enjoy outdoor activities,green,62,1.1300779,104.05292069999996,pm25,1012,Riau Islands,31,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/oTKPAxe9wWuD3j7Hq?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,60,20.5,"Open your windows to bring clean, fresh air indoors",green
34,8.1,dyBBXKJTgDmaCBYix,Banjarbaru,city,Rain,Indonesia,Enjoy outdoor activities,green,86,-3.4572422,114.8103181,pm25,1007,South Kalimantan,28,Asia/Makassar,https://website-api.airvisual.com/v1/cities/dyBBXKJTgDmaCBYix?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,181,4.7,"Open your windows to bring clean, fresh air indoors",green
12,3,Q9HEHxJSRpG9DAzQm,Palangkaraya,city,Broken clouds,Indonesia,Enjoy outdoor activities,green,48,-2.2161048,113.913977,pm25,1006,Central Kalimantan,33,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/Q9HEHxJSRpG9DAzQm?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,93,2.6,"Open your windows to bring clean, fresh air indoors",green
27,6.5,JdnZEae4wBh7yfoJS,Palembang,city,Rain,Indonesia,Enjoy outdoor activities,green,77,-2.9760735,104.7754307,pm25,1007,South Sumatra,28,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/JdnZEae4wBh7yfoJS?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,355,8.2,"Open your windows to bring clean, fresh air indoors",green
41,10,LembLiKtxzRZbDYP4,Jakarta,city,Scattered clouds,Indonesia,Enjoy outdoor activities,green,66,-6.236704,106.79324,pm25,1008,Jakarta,31,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/LembLiKtxzRZbDYP4?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,350,11.2,"Open your windows to bring clean, fresh air indoors",green
17,4.1,mAzACTP8KrzXdf3hG,Samarinda,city,Rain,Indonesia,Enjoy outdoor activities,green,89,-0.4948232,117.1436154,pm25,1007,East Kalimantan,28,Asia/Makassar,https://website-api.airvisual.com/v1/cities/mAzACTP8KrzXdf3hG?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,359,3.2,"Open your windows to bring clean, fresh air indoors",green
23,5.5,cpTRGbKR4aTxGEb5N,Jambi,city,Rain,Indonesia,Enjoy outdoor activities,green,87,-1.6,103.61667,pm25,1007,Jambi,28,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/cpTRGbKR4aTxGEb5N?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,20,5.9,"Open your windows to bring clean, fresh air indoors",green
