aqi,aqi_concentration,city_id,city_name,city_type,condition,country,exercise_desc,exercise_value,humidity,latitude,longitude,main_pollutant,pressure,province,temperature,timezone,url,wind_direction,wind_speed,windows_desc,windows_value
34,8.1,PLw5LTjZp3y5wXicB,Indrapuri,city,Scattered clouds,Indonesia,Enjoy outdoor activities,green,59,5.404765,95.461666,pm25,1010,Aceh,30,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/PLw5LTjZp3y5wXicB?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,79,12.7,"Open your windows to bring clean, fresh air indoors",green
21,5.1,5AiH8XmAKbfYHu9JL,Sampit,city,Rain,Indonesia,Enjoy outdoor activities,green,80,-2.5315,112.9496,pm25,1008,Central Kalimantan,29,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5AiH8XmAKbfYHu9JL?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,6,3.7,"Open your windows to bring clean, fresh air indoors",green
64,18.4,7kF5aMzgANZiRRADq,Badung,city,Few clouds,Indonesia,Sensitive groups should reduce outdoor exercise,orange,75,-8.566655,115.213997,pm25,1008,Bali,32,Asia/Makassar,https://website-api.airvisual.com/v1/cities/7kF5aMzgANZiRRADq?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,270,16.6,Close your windows to avoid dirty outdoor air,red
34,8.1,oxaWHjY4Rkm9Q7cR6,Buntok,city,Rain,Indonesia,Enjoy outdoor activities,green,57,-3.55,114.767,pm25,1008,Central Kalimantan,33,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/oxaWHjY4Rkm9Q7cR6?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,34,0.4,"Open your windows to bring clean, fresh air indoors",green
38,9.1,gQJSBqhHpnf52Z7Qb,Buleleng,city,Broken clouds,Indonesia,Enjoy outdoor activities,green,67,-8.200728,114.851048,pm25,1009,Bali,29,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/gQJSBqhHpnf52Z7Qb?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,11,9.4,"Open your windows to bring clean, fresh air indoors",green
42,10.1,5b7a94b36a15c1ae2d8a98a7,Tomok Bolon,city,Rain,Indonesia,Enjoy outdoor activities,green,81,2.6521,98.8608,pm25,1010,North Sumatra,24,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5b7a94b36a15c1ae2d8a98a7?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,37,3.9,"Open your windows to bring clean, fresh air indoors",green
88,29.8,GTE3k5JbEnFtipb2u,Ubud,city,Few clouds,Indonesia,Sensitive groups should reduce outdoor exercise,orange,75,-8.505905,115.243533,pm25,1008,Bali,32,Asia/Makassar,https://website-api.airvisual.com/v1/cities/GTE3k5JbEnFtipb2u?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,270,16.6,Close your windows to avoid dirty outdoor air,red
58,15.6,QXbmHFGEstQoPaKTp,Denpasar,city,Few clouds,Indonesia,Sensitive groups should reduce outdoor exercise,orange,75,-8.663225,115.19754,pm25,1008,Bali,32,Asia/Hong_Kong,https://website-api.airvisual.com/v1/cities/QXbmHFGEstQoPaKTp?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,270,16.6,Close your windows to avoid dirty outdoor air,red
46,11.1,5b7a94b36a15c1ae2d8a98a6,Tongging,city,Rain,Indonesia,Enjoy outdoor activities,green,87,2.8985,98.5231,pm25,1010,North Sumatra,22,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5b7a94b36a15c1ae2d8a98a6?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,56,6.4,"Open your windows to bring clean, fresh air indoors",green
51,12.1,5b7a94b36a15c1ae2d8a98ab,Tanjungbalai,city,Rain,Indonesia,Sensitive groups should reduce outdoor exercise,orange,78,2.96667,99.8,pm25,1010,North Sumatra,27,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5b7a94b36a15c1ae2d8a98ab?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,101,10.9,Close your windows to avoid dirty outdoor air,red
62,17.1,5b7a94b36a15c1ae2d8a98a9,Tebingtinggi,city,Scattered clouds,Indonesia,Sensitive groups should reduce outdoor exercise,orange,74,3.3285,99.1625,pm25,1010,North Sumatra,29,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5b7a94b36a15c1ae2d8a98a9?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,340,14.8,Close your windows to avoid dirty outdoor air,red
55,14.1,5b7a94b36a15c1ae2d8a98aa,Tanjungtiram,city,Scattered clouds,Indonesia,Sensitive groups should reduce outdoor exercise,orange,74,4.0613,98.3699,pm25,1010,North Sumatra,29,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5b7a94b36a15c1ae2d8a98aa?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,340,14.8,Close your windows to avoid dirty outdoor air,red
57,15.1,5b7a94b36a15c1ae2d8a98b3,Pematangsiantar,city,Rain,Indonesia,Sensitive groups should reduce outdoor exercise,orange,71,2.9595,99.0687,pm25,1010,North Sumatra,27,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5b7a94b36a15c1ae2d8a98b3?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,68,7.9,Close your windows to avoid dirty outdoor air,red
34,8.1,5b7a94b36a15c1ae2d8a98ae,Sibolga,city,Rain,Indonesia,Enjoy outdoor activities,green,67,1.74016,98.78117,pm25,1009,North Sumatra,30,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5b7a94b36a15c1ae2d8a98ae?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,177,2.5,"Open your windows to bring clean, fresh air indoors",green
29,7.1,5b7a94b36a15c1ae2d8a98b5,Padangsidempuan,city,Rain,Indonesia,Enjoy outdoor activities,green,82,1.37952,99.27146,pm25,1009,North Sumatra,26,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/5b7a94b36a15c1ae2d8a98b5?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,82,7.2,"Open your windows to bring clean, fresh air indoors",green
