aqi,aqi_concentration,city_id,city_name,city_type,condition,country,exercise_desc,exercise_value,humidity,latitude,longitude,main_pollutant,pressure,province,temperature,timezone,url,wind_direction,wind_speed,windows_desc,windows_value
36,8.7,sczgAScnX3y9eDMxC,Pontianak,city,Broken clouds,Indonesia,Enjoy outdoor activities,green,62,-0.04046,109.344387,pm25,1009,West Kalimantan,31,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/sczgAScnX3y9eDMxC?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,57,4.6,"Open your windows to bring clean, fresh air indoors",green
17,4.1,mAzACTP8KrzXdf3hG,Samarinda,city,Broken clouds,Indonesia,Enjoy outdoor activities,green,53,-0.4948232,117.1436154,pm25,1008,East Kalimantan,31,Asia/Makassar,https://website-api.airvisual.com/v1/cities/mAzACTP8KrzXdf3hG?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,21,10.1,"Open your windows to bring clean, fresh air indoors",green
17,4,5bc821a941fdcdf1939dc740,Renon - Ritten,city,Broken clouds,Italy,Enjoy outdoor activities,green,66,46.54152,11.45728,pm25,1027,Trentino-Alto Adige,0,Europe/Rome,https://website-api.airvisual.com/v1/cities/5bc821a941fdcdf1939dc740?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,72,4.5,"Open your windows to bring clean, fresh air indoors",green
11,2.6,5bc8216941fdcdf1939d9878,Jimbaran,city,Few clouds,Indonesia,Enjoy outdoor activities,green,79,-8.79093,115.16006,pm25,1008,Bali,30,Asia/Makassar,https://website-api.airvisual.com/v1/cities/5bc8216941fdcdf1939d9878?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,310,27.7,"Open your windows to bring clean, fresh air indoors",green
55,14,oTKPAxe9wWuD3j7Hq,Batam,city,Scattered clouds,Indonesia,Sensitive groups should reduce outdoor exercise,orange,78,1.1300779,104.05292069999996,pm25,1012,Riau Islands,29,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/oTKPAxe9wWuD3j7Hq?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,10,22.3,Close your windows to avoid dirty outdoor air,red
64,18.2,JdnZEae4wBh7yfoJS,Palembang,city,Scattered clouds,Indonesia,Sensitive groups should reduce outdoor exercise,orange,79,-2.9760735,104.7754307,pm25,1010,South Sumatra,29,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/JdnZEae4wBh7yfoJS?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,330,18.4,Close your windows to avoid dirty outdoor air,red
59,15.8,LembLiKtxzRZbDYP4,Jakarta,city,Broken clouds,Indonesia,Sensitive groups should reduce outdoor exercise,orange,78,-6.236704,106.79324,pm25,1009,Jakarta,28,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/LembLiKtxzRZbDYP4?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,330,20.5,Close your windows to avoid dirty outdoor air,red
29,7,Q9HEHxJSRpG9DAzQm,Palangkaraya,city,Rain,Indonesia,Enjoy outdoor activities,green,72,-2.2161048,113.913977,pm25,1008,Central Kalimantan,29,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/Q9HEHxJSRpG9DAzQm?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,45,4.9,"Open your windows to bring clean, fresh air indoors",green
17,4.1,LFTfzqv2cundknLFr,Muara Teweh,city,Broken clouds,Indonesia,Enjoy outdoor activities,green,58,-0.9403,114.8939,pm25,1008,Central Kalimantan,30,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/LFTfzqv2cundknLFr?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,45,5.9,"Open your windows to bring clean, fresh air indoors",green
58,15.5,cpTRGbKR4aTxGEb5N,Jambi,city,Rain,Indonesia,Sensitive groups should reduce outdoor exercise,orange,79,-1.6,103.61667,pm25,1011,Jambi,28,Asia/Jakarta,https://website-api.airvisual.com/v1/cities/cpTRGbKR4aTxGEb5N?units.temperature=celsius&units.distance=kilometer&AQI=US&language=id,335,8.7,Close your windows to avoid dirty outdoor air,red
